x,y,z
1.000402211146420939e+02,0.000000000000000000e+00,1.437191441784828688e-15
1.000375563335550737e+02,0.000000000000000000e+00,-2.080487951587624285e-01
1.000298552760455522e+02,0.000000000000000000e+00,-3.862916598560478532e-01
1.000180046163520302e+02,0.000000000000000000e+00,-5.091927844450520046e-01
1.000034769703511444e+02,0.000000000000000000e+00,-5.591448457478558343e-01
9.998824429630599298e+01,0.000000000000000000e+00,-5.289915049620037557e-01
9.997455587084358797e+01,0.000000000000000000e+00,-4.230526543414159790e-01
9.996457914006953160e+01,0.000000000000000000e+00,-2.565055315738061781e-01
9.995997517206438943e+01,0.000000000000000000e+00,-5.321036596730806256e-02
9.996153253000981920e+01,0.000000000000000000e+00,1.577079366376087088e-01
9.996898294783979111e+01,0.000000000000000000e+00,3.460323482802818984e-01
9.998106474363380869e+01,0.000000000000000000e+00,4.847827352217140562e-01
9.999581104422965439e+01,0.000000000000000000e+00,5.540811434390428003e-01
1.000109620137374264e+02,0.000000000000000000e+00,5.439995964936573669e-01
1.000243698874021021e+02,0.000000000000000000e+00,4.559824184777448997e-01
1.000342939516120566e+02,0.000000000000000000e+00,3.026393141740481574e-01
1.000395503597345197e+02,0.000000000000000000e+00,1.059388506205868469e-01
1.000451279936060445e+02,6.346651825433925753e-02,-7.019941798074559591e-02
1.000400965140979963e+02,6.346651825433925753e-02,-2.696110781872785300e-01
1.000295966469970352e+02,6.346651825433925753e-02,-4.303971407691704054e-01
1.000149024964254636e+02,6.346651825433925753e-02,-5.295227297165254754e-01
9.999792447908913573e+01,6.346651825433925753e-02,-5.527867033747490000e-01
9.998104323031587626e+01,6.346651825433925753e-02,-4.968561687050426778e-01
9.996679722422965142e+01,6.346651825433925753e-02,-3.697439653192235998e-01
9.995745288637084514e+01,6.346651825433925753e-02,-1.896607129521047930e-01
9.995455526733799445e+01,6.346651825433925753e-02,1.759411720382466834e-02
9.995859255826762535e+01,6.346651825433925753e-02,2.223283413956179122e-01
9.996888572137208939e+01,6.346651825433925753e-02,3.952108883008581541e-01
9.998374145562686977e+01,6.346651825433925753e-02,5.114738895590090761e-01
1.000008157221741527e+02,6.346651825433925753e-02,5.544610269823202486e-01
1.000175687860559322e+02,6.346651825433925753e-02,5.180137855560806859e-01
1.000316806878221172e+02,6.346651825433925753e-02,4.073537477587388378e-01
1.000413392226926703e+02,6.346651825433925753e-02,2.383345280701803237e-01
1.000453838107983842e+02,6.346651825433925753e-02,3.517051862301369403e-02
1.000491867841194136e+02,1.269330365086785151e-01,-1.379512617716885381e-01
1.000413711780707615e+02,1.269330365086785151e-01,-3.256741089011963575e-01
1.000278283478210710e+02,1.269330365086785151e-01,-4.667395368632201724e-01
1.000102698844549707e+02,1.269330365086785151e-01,-5.409379292879766821e-01
9.999105819273306395e+01,1.269330365086785151e-01,-5.376393177429269477e-01
9.997295268729875772e+01,1.269330365086785151e-01,-4.573162749543683847e-01
9.995871069307086998e+01,1.269330365086785151e-01,-3.114762120850679272e-01
9.995060215863554731e+01,1.269330365086785151e-01,-1.210127794398103696e-01
9.994995751273042117e+01,1.269330365086785151e-01,8.678744425093405657e-02
9.995688368413321712e+01,1.269330365086785151e-01,2.821541399017838958e-01
9.997024071687684454e+01,1.269330365086785151e-01,4.370982670541596060e-01
9.998788680326548217e+01,1.269330365086785151e-01,5.294218895181721507e-01
1.000071113367655471e+02,1.269330365086785151e-01,5.458983434767382681e-01
1.000251240828774257e+02,1.269330365086785151e-01,4.841671440226236744e-01
1.000394747088842848e+02,1.269330365086785151e-01,3.530721579844164904e-01
1.000483317862447734e+02,1.269330365086785151e-01,1.713945950044105937e-01
1.000559652895131535e+02,1.903995547630177865e-01,3.158957037074292692e-16
1.000521606924769458e+02,1.903995547630177865e-01,-2.021972764641758180e-01
1.000412084240845303e+02,1.903995547630177865e-01,-3.754269352250553249e-01
1.000244730177764438e+02,1.903995547630177865e-01,-4.948713792427089087e-01
1.000041394038288018e+02,1.903995547630177865e-01,-5.434185036876787445e-01
9.998301734210735958e+01,1.903995547630177865e-01,-5.141132468197249228e-01
9.996419607380975947e+01,1.903995547630177865e-01,-4.111540008847420768e-01
9.995056695129554214e+01,1.903995547630177865e-01,-2.492911330855884788e-01
9.994430150468343754e+01,1.903995547630177865e-01,-5.171378699906064441e-02
9.994641922296104042e+01,1.903995547630177865e-01,1.532722899960833607e-01
9.995657404652246214e+01,1.903995547630177865e-01,3.362999451036689513e-01
9.997312756136970791e+01,1.903995547630177865e-01,4.711478798225408604e-01
9.999348531013821173e+01,1.903995547630177865e-01,5.384972215678457408e-01
1.000145917372910560e+02,1.903995547630177865e-01,5.286992252211369925e-01
1.000334446726546105e+02,1.903995547630177865e-01,4.431575922436472581e-01
1.000475133475802068e+02,1.903995547630177865e-01,2.941273706020897660e-01
1.000550068977297826e+02,1.903995547630177865e-01,1.029592459349821937e-01
1.000607441213581978e+02,2.538660730173570301e-01,-6.820632425443928781e-02
1.000538341673714910e+02,2.538660730173570301e-01,-2.619563117528158624e-01
1.000394722600442776e+02,2.538660730173570301e-01,-4.181773551105129605e-01
1.000194987334485859e+02,2.538660730173570301e-01,-5.144885818433319047e-01
9.999659124373577868e+01,2.538660730173570301e-01,-5.370920474620172191e-01
9.997398274136200769e+01,2.538660730173570301e-01,-4.827494860400347032e-01
9.995502544976493198e+01,2.538660730173570301e-01,-3.592462375770997252e-01
9.994264815436791594e+01,2.538660730173570301e-01,-1.842758880064704341e-01
9.993881893254297211e+01,2.538660730173570301e-01,1.709458707056337942e-02
9.994415537961623386e+01,2.538660730173570301e-01,2.160160209353929051e-01
9.995779792971825373e+01,2.538660730173570301e-01,3.839901066377328642e-01
9.997758561327241011e+01,2.538660730173570301e-01,4.969521822603939487e-01
1.000004798847125755e+02,2.538660730173570301e-01,5.387188338680838351e-01
