x,y,z
1.300427317619323730e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.291503071784973145e+00,1.292343884706497192e-01,1.688897609710693359e-02
1.265073537826538086e+00,2.557401359081268311e-01,3.282606601715087891e-02
1.222125649452209473e+00,3.769758641719818115e-01,4.695830121636390686e-02
1.164176344871520996e+00,4.907415509223937988e-01,5.860923230648040771e-02
1.093118548393249512e+00,5.952807068824768066e-01,6.732055544853210449e-02
1.011059522628784180e+00,6.893287897109985352e-01,7.285599410533905029e-02
9.201782345771789551e-01,7.721212506294250488e-01,7.517518848180770874e-02
8.226006031036376953e-01,8.433708548545837402e-01,7.439447939395904541e-02
7.202979326248168945e-01,9.032251834869384766e-01,7.074872404336929321e-02
6.149962544441223145e-01,9.522005319595336914e-01,6.456121802330017090e-02
5.081017613410949707e-01,9.910892248153686523e-01,5.621936544775962830e-02
4.006503224372863770e-01,1.020840525627136230e+00,4.614877328276634216e-02
2.932950854301452637e-01,1.042432904243469238e+00,3.478218242526054382e-02
1.863333135843276978e-01,1.056749224662780762e+00,2.252720668911933899e-02
7.977075129747390747e-02,1.064468026161193848e+00,9.744334034621715546e-03
-2.658426761627197266e-02,1.065990924835205078e+00,-3.253995906561613083e-03
-1.330108940601348877e-01,1.061400651931762695e+00,-1.618128456175327301e-02
-2.397590726613998413e-01,1.050452470779418945e+00,-2.874201536178588867e-02
-3.469345569610595703e-01,1.032597780227661133e+00,-4.060110449790954590e-02
-4.543961286544799805e-01,1.007044792175292969e+00,-5.137290433049201965e-02
-5.616744756698608398e-01,9.728485941886901855e-01,-6.063355877995491028e-02
-6.679261326789855957e-01,9.290285110473632812e-01,-6.794971972703933716e-02
-7.719254493713378906e-01,8.746976852416992188e-01,-7.291127741336822510e-02
-8.720985651016235352e-01,8.091890215873718262e-01,-7.516001909971237183e-02
-9.665864109992980957e-01,7.321605682373046875e-01,-7.441352307796478271e-02
-1.053328275680541992e+00,6.436752676963806152e-01,-7.049193978309631348e-02
-1.130157589912414551e+00,5.442550182342529297e-01,-6.335208564996719360e-02
