nx,ny,nz
1.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
9.892956018447875977e-01,1.281498223543167114e-01,6.979864835739135742e-02
9.579267501831054688e-01,2.523554563522338867e-01,1.367226094007492065e-01
9.080117940902709961e-01,3.691530227661132812e-01,1.980924755334854126e-01
8.427342772483825684e-01,4.759303629398345947e-01,2.515733540058135986e-01
7.659278512001037598e-01,5.711264014244079590e-01,2.952442169189453125e-01
6.816527843475341797e-01,6.542509794235229492e-01,3.275746107101440430e-01
5.938359498977661133e-01,7.257485985755920410e-01,3.473440110683441162e-01
5.059982538223266602e-01,7.867301702499389648e-01,3.535835146903991699e-01
4.210635125637054443e-01,8.386000394821166992e-01,3.456234037876129150e-01
3.412253260612487793e-01,8.826345205307006836e-01,3.232979774475097656e-01
2.678552567958831787e-01,9.196398854255676270e-01,2.872561216354370117e-01
2.014534175395965576e-01,9.498426318168640137e-01,2.391977161169052124e-01
1.416538953781127930e-01,9.730803966522216797e-01,1.817930489778518677e-01
8.732035756111145020e-02,9.891471266746520996e-01,1.181655749678611755e-01
3.673005476593971252e-02,9.980146884918212891e-01,5.116119608283042908e-02
-1.219666097313165665e-02,9.997795820236206055e-01,-1.708595082163810730e-02
-6.168171763420104980e-02,9.944754838943481445e-01,-8.493468910455703735e-02
-1.139005795121192932e-01,9.820167422294616699e-01,-1.505650132894515991e-01
-1.707831472158432007e-01,9.623477458953857422e-01,-2.114706337451934814e-01
-2.337866425514221191e-01,9.355964660644531250e-01,-2.645809352397918701e-01
-3.036798238754272461e-01,9.019889235496520996e-01,-3.069112002849578857e-01
-3.804016113281250000e-01,8.615323901176452637e-01,-3.362386524677276611e-01
-4.630127251148223877e-01,8.137164711952209473e-01,-3.514039516448974609e-01
-5.497213602066040039e-01,7.574679255485534668e-01,-3.522054851055145264e-01
-6.379551291465759277e-01,6.913952827453613281e-01,-3.390955328941345215e-01
-7.244718670845031738e-01,6.141890883445739746e-01,-3.129095137119293213e-01
-8.055191636085510254e-01,5.250306725502014160e-01,-2.747390568256378174e-01
-8.770640492439270020e-01,4.239173233509063721e-01,-2.259487956762313843e-01
-9.351090192794799805e-01,3.118665218353271484e-01,-1.682569682598114014e-01
-9.760912656784057617e-01,1.909782588481903076e-01,-1.037939712405204773e-01
-9.973120689392089844e-01,6.432707607746124268e-02,-3.508124500513076782e-02
-9.973120689392089844e-01,-6.432760506868362427e-02,3.508153185248374939e-02
-9.760911464691162109e-01,-1.909787803888320923e-01,1.037942469120025635e-01
-9.351088404655456543e-01,-3.118669688701629639e-01,1.682572364807128906e-01
-8.770637512207031250e-01,-4.239177107810974121e-01,2.259490191936492920e-01
-8.055189251899719238e-01,-5.250311493873596191e-01,2.747392058372497559e-01
-7.244715690612792969e-01,-6.141894459724426270e-01,3.129095435142517090e-01
-6.379547715187072754e-01,-6.913955211639404297e-01,3.390956521034240723e-01
-5.497209429740905762e-01,-7.574681639671325684e-01,3.522055447101593018e-01
-4.630123078823089600e-01,-8.137166500091552734e-01,3.514039516448974609e-01
