nx,ny,nz
1.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
9.565508365631103516e-01,2.386132627725601196e-01,-1.675532907247543335e-01
8.450654745101928711e-01,4.371404647827148438e-01,-3.078514337539672852e-01
7.054412364959716797e-01,5.840429663658142090e-01,-4.015550315380096436e-01
5.756854414939880371e-01,6.913139820098876953e-01,-4.366591274738311768e-01
4.938975572586059570e-01,7.717108726501464844e-01,-4.006590247154235840e-01
5.032529234886169434e-01,8.146934509277343750e-01,-2.881164550781250000e-01
6.022720336914062500e-01,7.873392701148986816e-01,-1.317771524190902710e-01
7.207359671592712402e-01,6.929689049720764160e-01,1.826990395784378052e-02
8.017044067382812500e-01,5.725775957107543945e-01,1.715366542339324951e-01
8.092951178550720215e-01,4.909245669841766357e-01,3.225439190864562988e-01
7.541224360466003418e-01,5.073534250259399414e-01,4.170034825801849365e-01
6.672869324684143066e-01,6.052753329277038574e-01,4.340161383152008057e-01
5.517092347145080566e-01,7.407933473587036133e-01,3.832000195980072021e-01
3.924431502819061279e-01,8.772116899490356445e-01,2.765645682811737061e-01
1.815341264009475708e-01,9.751173853874206543e-01,1.272454261779785156e-01
-6.154057383537292480e-02,9.971767067909240723e-01,-4.302740097045898438e-02
-2.930173277854919434e-01,9.336262941360473633e-01,-2.061134129762649536e-01
-4.784875512123107910e-01,8.111913204193115234e-01,-3.361820876598358154e-01
-6.138950586318969727e-01,6.707156896591186523e-01,-4.162611365318298340e-01
-7.137822508811950684e-01,5.490194559097290039e-01,-4.348477125167846680e-01
-7.871373295783996582e-01,4.863430857658386230e-01,-3.793220520019531250e-01
-8.154536485671997070e-01,5.216873884201049805e-01,-2.507542669773101807e-01
-7.685959935188293457e-01,6.329523324966430664e-01,-9.290607273578643799e-02
-6.634778380393981934e-01,7.461609244346618652e-01,5.514514446258544922e-02
-5.452343821525573730e-01,8.111582398414611816e-01,2.115226387977600098e-01
-4.852552711963653564e-01,7.998797297477722168e-01,3.531568646430969238e-01
-5.259875059127807617e-01,7.347416877746582031e-01,4.283593297004699707e-01
-6.371464133262634277e-01,6.415538191795349121e-01,4.271454811096191406e-01
-7.762326598167419434e-01,5.166091918945312500e-01,3.613556623458862305e-01
-9.069589972496032715e-01,3.443702757358551025e-01,2.425582408905029297e-01
-9.887960553169250488e-01,1.222959682345390320e-01,8.559256792068481445e-02
-9.887958168983459473e-01,-1.222969517111778259e-01,-8.559323102235794067e-02
-9.069585800170898438e-01,-3.443710505962371826e-01,-2.425588369369506836e-01
