x,y,z
1.449999999999999734e+00,-1.478074329690261257e-01,3.172585109324990160e-01
1.583939201327780433e+00,-1.365562620731174681e-01,2.931086447655441574e-01
1.697487373415289991e+00,-1.045156381621749619e-01,2.243356444695164542e-01
1.773357836378948615e+00,-5.656345577766052485e-02,1.214095759106861017e-01
1.799999999999998046e+00,-7.261936969705533387e-16,1.942648099578702271e-17
1.773357836378948615e+00,5.656345577765917870e-02,-1.214095759106860600e-01
1.697487373415290435e+00,1.045156381621739350e-01,-2.243356444695164265e-01
1.583939201327781099e+00,1.365562620731169408e-01,-2.931086447655441574e-01
1.450000000000000400e+00,1.478074329690261257e-01,-3.172585109324990160e-01
1.316060798672219478e+00,1.365562620731174959e-01,-2.931086447655441574e-01
1.202512626584709921e+00,1.045156381621749897e-01,-2.243356444695165097e-01
1.126642163621051518e+00,5.656345577766058730e-02,-1.214095759106862543e-01
1.100000000000001865e+00,7.442948869381237807e-16,-5.827944298736107428e-17
1.126642163621051296e+00,-5.656345577765922034e-02,1.214095759106861572e-01
1.202512626584709254e+00,-1.045156381621739211e-01,2.243356444695164265e-01
1.316060798672218812e+00,-1.365562620731168852e-01,2.931086447655440463e-01
1.443086231173118295e+00,-3.972510174767623914e-02,3.676127848409115328e-01
1.576130225699875709e+00,-1.445238595471540211e-02,3.500031314784213254e-01
1.688916698091070590e+00,2.951867288784165710e-02,2.867949661471186906e-01
1.764274930337062175e+00,8.549387966985663723e-02,1.876111590352488867e-01
1.790732314702474071e+00,1.449515165752807699e-01,6.755154567214365080e-02
1.764260954254459168e+00,1.988396973700839454e-01,-5.510588615076947999e-02
1.688890873657747482e+00,2.389544350258327454e-01,-1.616876543308402858e-01
1.576096484451706692e+00,2.591886243754417674e-01,-2.359676508287874563e-01
1.443049709909271838e+00,2.564617935138162608e-01,-2.666374195276436376e-01
1.310005715382514424e+00,2.311890777208554515e-01,-2.490277661651534302e-01
1.197219242991319543e+00,1.872180188782983645e-01,-1.858196008338508509e-01
1.121861010745328180e+00,1.312428120962834677e-01,-8.663579372198113027e-02
1.095403626379916062e+00,7.178517519085927945e-02,3.342381964112418891e-02
1.121874986827930964e+00,1.789699439605604847e-02,1.560812514640374515e-01
1.197245067424642651e+00,-2.221774325969269603e-02,2.626630196441080978e-01
1.310039456630683219e+00,-4.245193260930171797e-02,3.369430161420552960e-01
1.422603107488269236e+00,6.626977695430638637e-02,4.172302309942139686e-01
1.552961229599731041e+00,1.054228660153908453e-01,4.061257205915598800e-01
1.663446070784566855e+00,1.612885703697357065e-01,3.484920717387476330e-01
1.737237315519964298e+00,2.253618429532630585e-01,2.531034850232900535e-01
1.763100915714258754e+00,2.878881088407931887e-01,1.344820080729237366e-01
1.737099372691988330e+00,3.393483108529613546e-01,1.068668544697568001e-02
1.663191185673719152e+00,3.719080997213077833e-01,-9.943576719214759774e-02
1.552628206153598978e+00,3.806105427458479351e-01,-1.791202046926587133e-01
1.422242645507661329e+00,3.641307718639378299e-01,-2.162353937863293885e-01
1.291884523396199302e+00,3.249776828028534403e-01,-2.051308833836752998e-01
1.181399682211363489e+00,2.691119784485085376e-01,-1.474972345308630528e-01
1.107608437475966046e+00,2.050387058649812688e-01,-5.210864781540559820e-02
1.081744837281671590e+00,1.425124399774510553e-01,6.651282913496082971e-02
1.107746380303942013e+00,9.105223796528287561e-02,1.903081517609090112e-01
1.181654567322211191e+00,5.849244909693646077e-02,3.004306044000321640e-01
1.292217546842331144e+00,4.979000607239633669e-02,3.801150419005431824e-01
1.388872869337893334e+00,1.687026160981837386e-01,4.656457965017709588e-01
1.514724942368246952e+00,2.215158309970274297e-01,4.610052598145113478e-01
1.621322811933202601e+00,2.891649226380231807e-01,4.089475116967189461e-01
1.692437918703590283e+00,3.613509300593721330e-01,3.173978723946657143e-01
1.717243632333665948e+00,4.270841879989607515e-01,2.002939445925425166e-01
1.691963507787605181e+00,4.763574038089536944e-01,7.546373974847356281e-02
1.620446214862645506e+00,5.016691770450931731e-01,-3.808847503865636641e-02
1.513579613100737742e+00,4.991660196839725616e-01,-1.230754044208971221e-01
1.387633173871974712e+00,4.692290147426446678e-01,-1.665585588082358071e-01
1.261781100841621317e+00,4.164157998438009489e-01,-1.619180221209762516e-01
1.155183231276665445e+00,3.487667082028052534e-01,-1.098602740031837943e-01
1.084068124506277986e+00,2.765807007814563012e-01,-1.831063470113075686e-02
1.059262410876202098e+00,2.108474428418676272e-01,9.879329310099256578e-02
1.084542535422262866e+00,1.615742270318746565e-01,2.236234979450616445e-01
1.156059828347222318e+00,1.362624537957352611e-01,3.371757127321914349e-01
1.262926430109130083e+00,1.387656111568557893e-01,4.221626421144321073e-01
1.342284048149902986e+00,2.661149166794695153e-01,5.123835046477389632e-01
1.461796412534753786e+00,3.321705886186940293e-01,5.141032425739755496e-01
1.562893718441613400e+00,4.113093215055675378e-01,4.675639019021349263e-01
1.630184817495522687e+00,4.914829606524635519e-01,3.798506753693312588e-01
1.653425249860856372e+00,5.604857962751159661e-01,2.643171065928051622e-01
1.629076870385035791e+00,6.078127721622382795e-01,1.385521341043738364e-01
1.560846499124645348e+00,6.262587852551211309e-01,2.170233490308645652e-02
1.459121591594223721e+00,6.130155972738979830e-01,-6.844296832872850955e-02
1.339388842826694681e+00,5.700993635389122183e-01,-1.181599703432359150e-01
1.219876478441843881e+00,5.040436915996877598e-01,-1.198797082694725569e-01
1.118779172534984268e+00,4.249049587128142513e-01,-7.334036759763198909e-02
1.051488073481074981e+00,3.447313195659182927e-01,1.437285893517165070e-02
1.028247641115741295e+00,2.757284839432658230e-01,1.299064277116978583e-01
1.052596020591561876e+00,2.284015080561433708e-01,2.556714002001292951e-01
1.120826391851952319e+00,2.099554949632606304e-01,3.725211994014165362e-01
1.222551299382373724e+00,2.231986829444836673e-01,4.626665026332313913e-01
1.283449610315515521e+00,3.571263039717554322e-01,5.569652610784379121e-01
1.394790874181265794e+00,4.358034848905764647e-01,5.648734023378751967e-01
1.488765033794446691e+00,5.259450018820496231e-01,5.237287942560492349e-01
1.551065375231829746e+00,6.138276261191095706e-01,4.397953304366172267e-01
1.572207236263574837e+00,6.860720247196364641e-01,3.258511198873432768e-01
1.548971960199046372e+00,7.316796428938040497e-01,1.992431357575136230e-01
1.484896907190766724e+00,7.437071342086837289e-01,7.924629592666077027e-02
1.389736923217444575e+00,7.203234221410653726e-01,-1.587096851502980965e-02
1.277979253211615429e+00,6.650884648793660148e-01,-7.162791629645995362e-02
1.166637989345865156e+00,5.864112839605449823e-01,-7.953605755589723825e-02
1.072663829732684260e+00,4.962697669690717683e-01,-3.839144947407138742e-02
1.010363488295301426e+00,4.083871427320119318e-01,4.554201434536059301e-02
9.892216272635561136e-01,3.361427441314849274e-01,1.594862248946346539e-01
1.012456903328084579e+00,2.905351259573173417e-01,2.860942090244644187e-01
1.076531956336364004e+00,2.785076346424376625e-01,4.060910488553171049e-01
1.171691940309686153e+00,3.018913467100560188e-01,5.012083132970076571e-01
1.213035356836143164e+00,4.403739420330134990e-01,5.988785533910880865e-01
1.314355044321748212e+00,5.308808557793298633e-01,6.127470077631844703e-01
1.399564124406374122e+00,6.313689036060098347e-01,5.768154137288340477e-01
1.455690287069371314e+00,7.265396911578635430e-01,4.965540307590556868e-01
1.474188832830229723e+00,8.019043287554585842e-01,3.841819268397497211e-01
1.452243525786593770e+00,8.459892335067022984e-01,2.568067361369719137e-01
1.393195340001153193e+00,8.520828782938744128e-01,1.338201767762410843e-01
1.306033826486604266e+00,8.192575609371557377e-01,3.394583754429164602e-02
1.204028535554449553e+00,7.525106384418636107e-01,-2.761131877395167633e-02
1.102708848068844505e+00,6.620037246955472465e-01,-4.147977314604800458e-02
1.017499767984218595e+00,5.615156768688672750e-01,-5.548179111697637556e-03
9.613736053212216248e-01,4.663448893170136778e-01,7.471320385808064013e-02
9.428750595603629936e-01,3.909802517194185256e-01,1.870853077773866890e-01
9.648203666039990578e-01,3.468953469681748114e-01,3.144604984801646630e-01
1.023868552389439524e+00,3.408017021810026970e-01,4.374470578408953259e-01
1.111030065903988229e+00,3.736270195377213721e-01,5.373213970728447642e-01
1.131825307236450584e+00,5.145412420089651162e-01,6.375719818470977351e-01
1.221264656841528629e+00,6.158776418325379032e-01,6.570925184112481610e-01
1.296067652467270070e+00,7.258513244870756775e-01,6.261116290833250719e-01
1.344846216120499927e+00,8.277197937023408336e-01,5.493458734210436845e-01
1.360174253663794186e+00,9.059744984802822199e-01,4.384821418406783522e-01
1.339718210330193227e+00,9.487018693991235985e-01,3.103984324931103322e-01
1.286592333282742473e+00,9.493970515610532512e-01,1.845943290447903673e-01
1.208884555714642151e+00,9.079542097837594028e-01,8.022236582868749744e-02
1.118425182337877466e+00,8.306826410475386391e-01,1.317222811025081652e-02
