nx,ny,nz
1.691295179893233247e-02,-2.864191455889029125e-01,9.579551268726358426e-01
3.763843664244057030e-01,-2.457837958791415089e-01,8.932665528242603736e-01
6.850229867464930900e-01,-1.719539826008737171e-01,7.079373810561288005e-01
9.011454568650616448e-01,-7.490083114244698581e-02,4.269973431599171088e-01
9.955632396146482099e-01,3.226809260160083681e-02,8.838894799599829322e-02
9.555246902479236359e-01,1.350790316361289156e-01,-2.621568643748493632e-01
7.864372367181262646e-01,2.196467989494438333e-01,-5.772969395505387347e-01
5.111370765703816543e-01,2.745500489597069715e-01,-8.144698641271538309e-01
1.668050219234936404e-01,2.923737935236221941e-01,-9.416441204200806103e-01
-2.000549752326952757e-01,2.707108371730552743e-01,-9.416441204200806103e-01
-5.398964394408243272e-01,2.124868822017351166e-01,-8.144698641271537198e-01
-8.068218978330251590e-01,1.255653963586099153e-01,-5.772969395505389567e-01
-9.647815881684053130e-01,2.168560795537332817e-02,-2.621568643748495298e-01
-9.924421789823093532e-01,-8.512294196633868326e-02,8.838894799599784913e-02
-8.860679542126934649e-01,-1.804351668929920771e-01,4.269973431599173308e-01
-6.600253423546244003e-01,-2.513786227049710775e-01,7.079373810561289115e-01
-3.448426506848881190e-01,-2.883720025836092327e-01,8.932665528242603736e-01
1.691295179893208961e-02,-2.864191455889029125e-01,9.579551268726358426e-01
1.683929197713524700e-02,-2.855878881869416963e-01,9.582045691639282659e-01
3.745947976871900065e-01,-2.255883593053651381e-01,8.993267646921248026e-01
6.817592002681601704e-01,-1.351218724713477148e-01,7.189898973070161237e-01
8.968482450947741214e-01,-2.640642802393211586e-02,4.415494602300393256e-01
9.908129648136558831e-01,8.587535085118443157e-02,1.044753218389732341e-01
9.509629033502843276e-01,1.865591877421024780e-01,-2.467087876841893845e-01
7.826800323221017042e-01,2.620471725683037323e-01,-5.645735083700169632e-01
5.086918859490417999e-01,3.021442346856457184e-01,-8.061894483406677470e-01
1.660020816195175719e-01,3.014350436696902613e-01,-9.389250360629634029e-01
-1.991072236820111141e-01,2.600153796969051356e-01,-9.448535949017254909e-01
-5.373259951340713103e-01,1.834791979010960694e-01,-8.231744401345005846e-01
-8.029759135171514739e-01,8.216313373541103693e-02,-5.903210158600751267e-01
-9.601794853366037996e-01,-3.024951692288212202e-02,-2.777414673120759958e-01
-9.877054971231483682e-01,-1.385768027023803750e-01,7.234860541501790532e-02
-8.818364084581152840e-01,-2.281885233963505122e-01,4.126675980833524604e-01
-6.568704264065896581e-01,-2.869821195693852411e-01,6.972535449604299052e-01
-3.431904534241697058e-01,-3.070171902717536705e-01,8.876715369753320761e-01
1.683929197713500761e-02,-2.855878881869417518e-01,9.582045691639284879e-01
1.655449497187735236e-02,-2.839918514790895632e-01,9.586837731961999065e-01
3.674661476715327946e-01,-1.856385463074282927e-01,9.113215461297434761e-01
6.687494609279316382e-01,-6.221372679825318969e-02,7.408802944514527589e-01
8.797144538173260475e-01,6.961340125318690730e-02,4.703790536480600970e-01
9.718691350526229566e-01,1.920388537242115612e-01,1.363505151891825362e-01
9.327675042862785260e-01,2.885283948757580985e-01,-2.160929158902810676e-01
7.676904534229033183e-01,3.460505775083054791e-01,-5.393518012665791117e-01
4.989325529051121810e-01,3.568367121159106148e-01,-7.897682372303230780e-01
1.627910464367702814e-01,3.194300714517815942e-01,-9.335220964992358983e-01
-1.953362929091857492e-01,2.388826296149603179e-01,-9.511986238114185088e-01
-5.270823835019922132e-01,1.260727649542923434e-01,-8.404105062043411012e-01
-7.876430775385422356e-01,-3.763925206759527464e-03,-6.161202928589918359e-01
-9.418282094725527465e-01,-1.330922764120089641e-01,-3.086196199226363124e-01
-9.688142228670257872e-01,-2.444457781980540478e-01,4.056184280462036412e-02
-8.649565070783747922e-01,-3.227855231176354200e-01,3.842652039001839270e-01
-6.442816221193276016e-01,-3.575312945238512952e-01,6.760714199220266840e-01
-3.365929340053535057e-01,-3.439904834553264013e-01,8.765704444423370045e-01
1.655449497187711297e-02,-2.839918514790896187e-01,9.586837731961999065e-01
1.609342224944108890e-02,-2.824702067852634668e-01,9.591410657661310069e-01
3.556192309367418036e-01,-1.465410306434197230e-01,9.230713346897533311e-01
6.471166919318511734e-01,9.179323698700309064e-03,7.623357049486860770e-01
8.512174578841879002e-01,1.636599595109222705e-01,4.986424140063316912e-01
9.403565893905031503e-01,2.960374109200523685e-01,1.676047019794217885e-01
9.024953528038898165e-01,3.884333695845069157e-01,-1.860689537795236770e-01
7.427471179217243202e-01,4.283692493029700454e-01,-5.146129662868784704e-01
4.826867690603705574e-01,4.104514882271148024e-01,-7.736556461283050634e-01
1.574368973776942293e-01,3.370999792759768465e-01,-9.282118439861772874e-01
-1.890756996838039439e-01,2.182212501881496680e-01,-9.574078889143325943e-01
-5.100525757983848107e-01,6.987053205672222322e-02,-8.573006932643537636e-01
-7.621440252525037984e-01,-8.791658859494888567e-02,-6.414102885218910810e-01
-9.113037009104388853e-01,-2.338300867942373074e-01,-3.388938701374439311e-01
-9.373867620522908783e-01,-3.481635360747241115e-01,9.392043284825705649e-03
-8.368705467396209130e-01,-4.154755705675664545e-01,3.564095092183720559e-01
-6.233303268299823507e-01,-4.266753270256467001e-01,6.552918959987088510e-01
-3.256058922893779184e-01,-3.802502162793083840e-01,8.656734811266747487e-01
1.609342224944085645e-02,-2.824702067852635223e-01,9.591410657661310069e-01
1.540796618074037790e-02,-2.809014389563744274e-01,9.596129303893364826e-01
3.390626296271834206e-01,-1.086487941075085506e-01,9.344688184895639793e-01
6.169250061315858513e-01,7.827747242932781013e-02,7.831195145822996695e-01
8.114682420584478084e-01,2.546319325641351328e-01,5.260055808156637314e-01
8.964181953945631331e-01,3.965969392419095851e-01,1.978516786623304713e-01
8.603019042179473885e-01,4.849993316555593070e-01,-1.570231890283488863e-01
7.079970737792807833e-01,5.078998768550543330e-01,-4.906912049452222813e-01
4.600733153795047436e-01,4.622057293149012258e-01,-7.580886546204136378e-01
1.500141063834797006e-01,3.540881368604100743e-01,-9.231020307748690756e-01
-1.803053389364936976e-01,1.981489794528213388e-01,-9.634453625882474226e-01
-4.862735491267206611e-01,1.544870438873008345e-02,-8.736700595490327625e-01
-7.265678219726293685e-01,-1.693380038072850868e-01,-6.659007737947983951e-01
-8.687350844098491454e-01,-3.312546762548549961e-01,-3.681978986560099920e-01
-8.935748598702371037e-01,-4.484335691286804315e-01,-2.076785704873906555e-02
-7.977323990359205252e-01,-5.050490236354910900e-01,3.294669987316334869e-01
-5.941517573239827321e-01,-4.934548089270783811e-01,6.352055106936348450e-01
-3.103276284768996529e-01,-4.152167879455754829e-01,8.551559986412187175e-01
1.540796618074015759e-02,-2.809014389563745384e-01,9.596129303893364826e-01
1.436794965129141802e-02,-2.791248883076292708e-01,9.601473109633070768e-01
3.177769092201536694e-01,-7.228864085286995644e-02,9.454058326296326253e-01
5.782683363361931228e-01,1.443105881142564828e-01,8.029820579247626267e-01
7.606614203345619662e-01,3.414198725039787607e-01,5.521111068199692218e-01
8.403229645463126118e-01,4.924185112392155950e-01,2.266744913858838029e-01
8.064942360057930637e-01,5.769133014464317144e-01,-1.293757701565823592e-01
6.637439919538565825e-01,5.834927535063469950e-01,-4.679531170435113907e-01
4.313514438561255604e-01,5.112682759602674709e-01,-7.433308024559789340e-01
1.407024930647621241e-01,3.699941847104372128e-01,-9.183175440585993332e-01
-1.689491090744262292e-01,1.787503286069093422e-01,-9.692804127629308653e-01
-4.557831978537822959e-01,-3.663474986474551942e-02,-8.893365907554493521e-01
-6.810612401810993699e-01,-2.470721023670094385e-01,-6.892829341822753753e-01
-8.143581881313480819e-01,-4.241409983708276377e-01,-3.961377978991950655e-01
-8.376715502599607621e-01,-5.439273022982602512e-01,-4.949205693451379229e-02
-7.478527278276686507e-01,-5.902532100450840202e-01,3.038378605641291474e-01
-5.570322505072293762e-01,-5.568621510693734233e-01,6.161327913698795289e-01
-2.909814811335352247e-01,-4.482637729120438896e-01,8.452155745914716745e-01
1.436794965129121159e-02,-2.791248883076293819e-01,9.601473109633070768e-01
1.273274494462400125e-02,-2.769613211161652822e-01,9.607967026440930036e-01
2.916641282366046473e-01,-3.773837568818336208e-02,9.557760466241017605e-01
5.312046548435053195e-01,2.065813464920464027e-01,8.216725393696223678e-01
6.990030493071848205e-01,4.230011131217675802e-01,5.765976026285583034e-01
7.723972086523216429e-01,5.822922354943113055e-01,2.536499646148950293e-01
7.414748449682786458e-01,6.629415648706855624e-01,-1.035545066429841843e-01
6.104121948173182322e-01,6.540569624252496883e-01,-4.467733679633981714e-01
3.969099953455424989e-01,5.568383429495415982e-01,-7.296530102836609188e-01
1.298029016481430098e-01,3.844156197107229112e-01,-9.139889704182110330e-01
-1.548347931795459875e-01,1.600754369094881668e-01,-9.748856555100612331e-01
-4.185611912191303796e-01,-8.588382065498974260e-02,-9.041186307973759773e-01
-6.257585810569444851e-01,-3.202439923413320511e-01,-7.112453751012248748e-01
-7.484438070750205618e-01,-5.113534383287572371e-01,-4.223144903509769010e-01
-7.700475496773114825e-01,-6.334017689626658676e-01,-7.634769355345458197e-02
-6.876521037149072590e-01,-6.699056808978024469e-01,2.799302823156369913e-01
-5.123854307339583691e-01,-6.159351185521675376e-01,5.984021224107591852e-01
-2.679182661067035509e-01,-4.787791054317493966e-01,8.360564400136808461e-01
1.273274494462380869e-02,-2.769613211161653932e-01,9.607967026440927816e-01
