x,y,z
1.132338881492614746e+00,0.000000000000000000e+00,1.322180591523647308e-02
1.130462884902954102e+00,1.131198853254318237e-01,1.280787494033575058e-02
1.115701913833618164e+00,2.255440056324005127e-01,1.366615481674671173e-02
1.088274598121643066e+00,3.356882631778717041e-01,1.566518098115921021e-02
1.048678517341613770e+00,4.420550763607025146e-01,1.871298812329769135e-02
9.972906708717346191e-01,5.430955886840820312e-01,2.240406349301338196e-02
9.348903298377990723e-01,6.373975276947021484e-01,2.569633908569812775e-02
8.633927702903747559e-01,7.244725823402404785e-01,2.730434015393257141e-02
7.853659391403198242e-01,8.051959872245788574e-01,2.665814943611621857e-02
7.023543119430541992e-01,8.807245492935180664e-01,2.446698024868965149e-02
6.138387322425842285e-01,9.504083395004272461e-01,2.220511995255947113e-02
5.182748436927795410e-01,1.010932683944702148e+00,2.096724323928356171e-02
4.152823686599731445e-01,1.058122396469116211e+00,2.080963365733623505e-02
3.066760897636413574e-01,1.089991807937622070e+00,2.111598849296569824e-02
1.953794360160827637e-01,1.108052372932434082e+00,2.139689959585666656e-02
8.360674232244491577e-02,1.115655899047851562e+00,2.158156223595142365e-02
-2.781255915760993958e-02,1.115243554115295410e+00,2.162998355925083160e-02
-1.387428343296051025e-01,1.107140421867370605e+00,2.116656303405761719e-02
-2.488801032304763794e-01,1.090414285659790039e+00,1.973549462854862213e-02
-3.575339913368225098e-01,1.064145445823669434e+00,1.740069128572940826e-02
-4.637325704097747803e-01,1.027736544609069824e+00,1.491792313754558563e-02
-5.661695003509521484e-01,9.806342124938964844e-01,1.322180498391389847e-02
-6.631963253021240234e-01,9.224497675895690918e-01,1.280787587165832520e-02
-7.531778216361999512e-01,8.534541130065917969e-01,1.366615574806928635e-02
-8.348519206047058105e-01,7.746292352676391602e-01,1.566518284380435944e-02
-9.071702361106872559e-01,6.871545314788818359e-01,1.871299184858798981e-02
-9.689800143241882324e-01,5.921311378479003906e-01,2.240406908094882965e-02
-1.019447684288024902e+00,4.909399747848510742e-01,2.569634281098842621e-02
-1.059108138084411621e+00,3.854836523532867432e-01,2.730434201657772064e-02
-1.090003252029418945e+00,2.775487303733825684e-01,2.665814384818077087e-02
-1.113906860351562500e+00,1.678942441940307617e-01,2.446697279810905457e-02
-1.129997134208679199e+00,5.639559030532836914e-02,2.220512181520462036e-02
-1.134630680084228516e+00,-5.662730708718299866e-02,2.096724323928356171e-02
-1.124001979827880859e+00,-1.694162935018539429e-01,2.080963738262653351e-02
-1.097298622131347656e+00,-2.794068455696105957e-01,2.111598849296569824e-02
-1.057291150093078613e+00,-3.848228156566619873e-01,2.139689587056636810e-02
-1.007989645004272461e+00,-4.854226112365722656e-01,2.158156223595142365e-02
-9.519227743148803711e-01,-5.817082524299621582e-01,2.162999100983142853e-02
-8.894402384757995605e-01,-6.737252473831176758e-01,2.116656303405761719e-02
-8.198862671852111816e-01,-7.607437968254089355e-01,1.973549462854862213e-02
-7.428097724914550781e-01,-8.417063951492309570e-01,1.740069314837455750e-02
-6.581794619560241699e-01,-9.154725670814514160e-01,1.491792313754558563e-02
-5.661693215370178223e-01,-9.806342720985412598e-01,1.322180498391389847e-02
-4.672664403915405273e-01,-1.035569787025451660e+00,1.280787680298089981e-02
-3.625239431858062744e-01,-1.078998208045959473e+00,1.366615761071443558e-02
-2.534223198890686035e-01,-1.110317826271057129e+00,1.566519401967525482e-02
-1.415081471204757690e-01,-1.129209756851196289e+00,1.871299371123313904e-02
-2.831030823290348053e-02,-1.135226964950561523e+00,2.240407653152942657e-02
8.455743640661239624e-02,-1.128337502479553223e+00,2.569633908569812775e-02
1.957157850265502930e-01,-1.109956383705139160e+00,2.730434015393257141e-02
