x,y,z
2.535722494125366211e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.542020082473754883e+00,2.543675005435943604e-01,7.243776693940162659e-03
2.558029174804687500e+00,5.171167254447937012e-01,9.693293832242488861e-03
2.595204114913940430e+00,8.005145192146301270e-01,1.194762345403432846e-02
2.687041282653808594e+00,1.132683038711547852e+00,8.256605826318264008e-03
2.721401453018188477e+00,1.481996417045593262e+00,1.467932597734034061e-03
2.661885499954223633e+00,1.814842939376831055e+00,-1.000308198854327202e-03
2.531240463256835938e+00,2.123963117599487305e+00,2.142504323273897171e-03
2.334995985031127930e+00,2.393953323364257812e+00,6.913516204804182053e-03
2.081872940063476562e+00,2.610586404800415039e+00,9.134423919022083282e-03
1.841288089752197266e+00,2.850871801376342773e+00,6.823668256402015686e-03
1.618407011032104492e+00,3.156820058822631836e+00,2.003966597840189934e-03
1.331591248512268066e+00,3.392839431762695312e+00,-5.790964351035654545e-04
9.992419481277465820e-01,3.551517724990844727e+00,1.170130795799195766e-03
6.398289203643798828e-01,3.628651857376098633e+00,3.576422110199928284e-03
2.707942128181457520e-01,3.613502025604248047e+00,2.718304283916950226e-03
-8.946249634027481079e-02,3.587317466735839844e+00,-9.078572038561105728e-04
-4.551974534988403320e-01,3.632385730743408203e+00,-3.520368365570902824e-03
-8.218837976455688477e-01,3.600905895233154297e+00,-2.582838991656899452e-03
-1.169793248176574707e+00,3.481711149215698242e+00,6.237053457880392671e-05
-1.482164025306701660e+00,3.284811496734619141e+00,-2.948316105175763369e-04
-1.736907124519348145e+00,3.008410930633544922e+00,-4.622053820639848709e-03
-1.952671408653259277e+00,2.716000080108642578e+00,-8.684335276484489441e-03
-2.213786125183105469e+00,2.508524417877197266e+00,-8.608498610556125641e-03
-2.441270112991333008e+00,2.265167236328125000e+00,-4.580357577651739120e-03
-2.605090379714965820e+00,1.973278760910034180e+00,1.160737811005674303e-04
-2.701478242874145508e+00,1.650838375091552734e+00,8.510852931067347527e-04
-2.718582391738891602e+00,1.309199810028076172e+00,-4.385258071124553680e-03
-2.635719299316406250e+00,9.593229293823242188e-01,-1.072207093238830566e-02
-2.572503089904785156e+00,6.550393104553222656e-01,-1.123301312327384949e-02
-2.548604249954223633e+00,3.841397762298583984e-01,-8.790722116827964783e-03
-2.537599086761474609e+00,1.266458034515380859e-01,-8.474752306938171387e-03
-2.537599325180053711e+00,-1.266468614339828491e-01,8.474771864712238312e-03
-2.548604249954223633e+00,-3.841408491134643555e-01,8.790727704763412476e-03
-2.572503328323364258e+00,-6.550405025482177734e-01,1.123303733766078949e-02
-2.635719537734985352e+00,-9.593242406845092773e-01,1.072205696254968643e-02
-2.718582153320312500e+00,-1.309201121330261230e+00,4.385218489915132523e-03
-2.701477766036987305e+00,-1.650839686393737793e+00,-8.511102059856057167e-04
-2.605090141296386719e+00,-1.973280310630798340e+00,-1.160551546490751207e-04
-2.441269159317016602e+00,-2.265168190002441406e+00,4.580351989716291428e-03
-2.213785409927368164e+00,-2.508525609970092773e+00,8.608520962297916412e-03
-1.952670335769653320e+00,-2.716001033782958984e+00,8.684329688549041748e-03
-1.736906528472900391e+00,-3.008411169052124023e+00,4.622049164026975632e-03
-1.482162594795227051e+00,-3.284812688827514648e+00,2.948036708403378725e-04
-1.169792294502258301e+00,-3.481711387634277344e+00,-6.236027547856792808e-05
-8.218818902969360352e-01,-3.600906372070312500e+00,2.582849934697151184e-03
-4.551964402198791504e-01,-3.632386207580566406e+00,3.520379308611154556e-03
-8.946059644222259521e-02,-3.587317943572998047e+00,9.078385774046182632e-04
2.707953155040740967e-01,-3.613502502441406250e+00,-2.718316158279776573e-03
6.398308277130126953e-01,-3.628651380538940430e+00,-3.576423274353146553e-03
9.992429018020629883e-01,-3.551517248153686523e+00,-1.170103321783244610e-03
1.331592917442321777e+00,-3.392838716506958008e+00,5.790861323475837708e-04
1.618407487869262695e+00,-3.156818866729736328e+00,-2.003978006541728973e-03
1.841289401054382324e+00,-2.850870609283447266e+00,-6.823685951530933380e-03
2.081874132156372070e+00,-2.610586166381835938e+00,-9.134441614151000977e-03
2.334997177124023438e+00,-2.393951654434204102e+00,-6.913487333804368973e-03
2.531240940093994141e+00,-2.123962163925170898e+00,-2.142473123967647552e-03
2.661885738372802734e+00,-1.814840555191040039e+00,1.000330084934830666e-03
2.721401214599609375e+00,-1.481994867324829102e+00,-1.467958209104835987e-03
2.687040805816650391e+00,-1.132680892944335938e+00,-8.256646804511547089e-03
2.595203876495361328e+00,-8.005133867263793945e-01,-1.194762531667947769e-02
2.558029174804687500e+00,-5.171151161193847656e-01,-9.693282656371593475e-03
2.542019844055175781e+00,-2.543664276599884033e-01,-7.243787869811058044e-03
2.535722494125366211e+00,4.433597950992407277e-07,5.607139641483627202e-08
2.575475692749023438e+00,0.000000000000000000e+00,-8.780961483716964722e-02
2.580384254455566406e+00,2.582063972949981689e-01,-7.989157736301422119e-02
2.593908309936523438e+00,5.243698954582214355e-01,-7.507678866386413574e-02
2.601117849349975586e+00,8.023386597633361816e-01,-7.104800641536712646e-02
2.628507137298583984e+00,1.108008742332458496e+00,-6.556670367717742920e-02
2.692401409149169922e+00,1.466203808784484863e+00,-4.786894842982292175e-02
2.653626441955566406e+00,1.809212088584899902e+00,-4.042351618409156799e-02
2.534615755081176758e+00,2.126795291900634766e+00,-3.626938909292221069e-02
2.348792314529418945e+00,2.408097982406616211e+00,-3.694108873605728149e-02
2.101585865020751953e+00,2.635305643081665039e+00,-4.809901863336563110e-02
1.829129576683044434e+00,2.832046985626220703e+00,-6.324399262666702271e-02
1.603144526481628418e+00,3.127049446105957031e+00,-4.963947832584381104e-02
1.327632546424865723e+00,3.382752895355224609e+00,-3.751398250460624695e-02
9.998740553855895996e-01,3.553764343261718750e+00,-3.196379169821739197e-02
6.425664424896240234e-01,3.644176959991455078e+00,-3.305019810795783997e-02
2.732476294040679932e-01,3.646240949630737305e+00,-4.580390453338623047e-02
-8.945967257022857666e-02,3.587204217910766602e+00,-6.435760110616683960e-02
-4.523009061813354492e-01,3.609272003173828125e+00,-5.505762994289398193e-02
-8.202453851699829102e-01,3.593727827072143555e+00,-3.995753824710845947e-02
-1.171343922615051270e+00,3.486326456069946289e+00,-3.215863555669784546e-02
-1.489985823631286621e+00,3.302146196365356445e+00,-3.444447368383407593e-02
-1.758860826492309570e+00,3.046435832977294922e+00,-4.968644678592681885e-02
-1.966769099235534668e+00,2.735608816146850586e+00,-7.291222363710403442e-02
-2.201590776443481445e+00,2.494705438613891602e+00,-6.790214031934738159e-02
-2.435178041458129883e+00,2.259514570236206055e+00,-4.906535521149635315e-02
-2.608688831329345703e+00,1.976004600524902344e+00,-3.645160421729087830e-02
-2.716740369796752930e+00,1.660164952278137207e+00,-3.404984623193740845e-02
-2.755996465682983398e+00,1.327217459678649902e+00,-4.464268311858177185e-02
-2.708567380905151367e+00,9.858373999595642090e-01,-6.859561055898666382e-02
-2.628582000732421875e+00,6.693187355995178223e-01,-8.853217214345932007e-02
-2.592304706573486328e+00,3.907265961170196533e-01,-9.366409480571746826e-02
-2.579298973083496094e+00,1.287269592285156250e-01,-9.559188783168792725e-02
-2.575482845306396484e+00,-1.285375505685806274e-01,-7.945493608713150024e-02
-2.586362600326538086e+00,-3.898320198059082031e-01,-7.735586166381835938e-02
-2.599929332733154297e+00,-6.620240211486816406e-01,-7.231003046035766602e-02
-2.602592706680297852e+00,-9.472670555114746094e-01,-7.100670039653778076e-02
-2.671258926391601562e+00,-1.286411523818969727e+00,-5.580751970410346985e-02
-2.684593677520751953e+00,-1.640522122383117676e+00,-4.373899847269058228e-02
-2.602813720703125000e+00,-1.971556067466735840e+00,-3.824868053197860718e-02
-2.449519395828247070e+00,-2.272823333740234375e+00,-3.575599938631057739e-02
-2.232193231582641602e+00,-2.529384136199951172e+00,-4.088277369737625122e-02
-1.961796879768371582e+00,-2.728695392608642578e+00,-5.734384059906005859e-02
-1.715560674667358398e+00,-2.971439123153686523e+00,-5.879823863506317139e-02
-1.473662614822387695e+00,-3.265974998474121094e+00,-4.227264225482940674e-02
-1.168599486351013184e+00,-3.478161334991455078e+00,-3.410389646887779236e-02
-8.237982988357543945e-01,-3.609302997589111328e+00,-3.140060976147651672e-02
-4.582807421684265137e-01,-3.656998634338378906e+00,-3.782542049884796143e-02
-9.016741812229156494e-02,-3.615661144256591797e+00,-5.651652812957763672e-02
2.690384387969970703e-01,-3.590058803558349609e+00,-6.317967176437377930e-02
