nx,ny,nz
-1.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
-9.996358156204223633e-01,1.353221293538808823e-02,2.335017360746860504e-02
-9.994692206382751465e-01,2.199958637356758118e-02,2.402835525572299957e-02
-9.978091716766357422e-01,5.465321242809295654e-02,3.728042542934417725e-02
-9.888160824775695801e-01,8.933142572641372681e-02,1.194267123937606812e-01
-8.466818332672119141e-01,1.958675533533096313e-01,4.947380125522613525e-01
-7.352786064147949219e-01,1.225018277764320374e-01,6.666022539138793945e-01
-8.944045901298522949e-01,-1.677665710449218750e-01,4.146020114421844482e-01
-9.021763205528259277e-01,-4.305683076381683350e-01,2.624615095555782318e-02
-7.135103344917297363e-01,-6.196187734603881836e-01,-3.270710408687591553e-01
-5.715906023979187012e-01,-7.620032429695129395e-01,-3.043602108955383301e-01
-6.875113844871520996e-01,-4.407443404197692871e-01,5.771243572235107422e-01
-5.743013620376586914e-01,-6.593688130378723145e-01,4.851914346218109131e-01
-4.125362336635589600e-01,-9.057504534721374512e-01,9.710837900638580322e-02
-1.489650309085845947e-01,-9.378004670143127441e-01,-3.135917484760284424e-01
1.174707859754562378e-01,-8.636300563812255859e-01,-4.902487099170684814e-01
-1.032960861921310425e-01,-9.575051069259643555e-01,2.692839801311492920e-01
1.336815766990184784e-02,-9.065408110618591309e-01,4.219065606594085693e-01
2.978568971157073975e-01,-9.503881931304931641e-01,8.968594670295715332e-02
5.099478363990783691e-01,-7.994688153266906738e-01,-3.174946904182434082e-01
6.230295896530151367e-01,-5.037342309951782227e-01,-5.984029173851013184e-01
7.220298647880554199e-01,-6.590141654014587402e-01,-2.106495946645736694e-01
5.985761284828186035e-01,-6.903037428855895996e-01,4.064325094223022461e-01
8.255394697189331055e-01,-5.373250246047973633e-01,1.725292503833770752e-01
9.282218217849731445e-01,-3.117170333862304688e-01,-2.030683755874633789e-01
8.330962061882019043e-01,-3.156835213303565979e-02,-5.522266030311584473e-01
7.143288254737854004e-01,2.245348095893859863e-01,-6.628110408782958984e-01
9.655407071113586426e-01,1.140689179301261902e-01,-2.339219748973846436e-01
9.975121617317199707e-01,5.275209993124008179e-02,-4.676176980137825012e-02
9.994715452194213867e-01,2.685413509607315063e-02,-1.832048781216144562e-02
9.997938871383666992e-01,5.087232682853937149e-03,-1.965490542352199554e-02
9.995645880699157715e-01,9.252903982996940613e-03,-2.801818959414958954e-02
