x,y,z
1.300427317619323730e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.294745326042175293e+00,1.031939387321472168e-01,1.351532433182001114e-02
1.277838706970214844e+00,2.049951404333114624e-01,2.654314413666725159e-02
1.250116348266601562e+00,3.040726482868194580e-01,3.862876072525978088e-02
1.212223172187805176e+00,3.992117345333099365e-01,4.937845095992088318e-02
1.164996027946472168e+00,4.893558919429779053e-01,5.847935378551483154e-02
1.109412431716918945e+00,5.736351609230041504e-01,6.570927798748016357e-02
1.046535611152648926e+00,6.513789892196655273e-01,7.093656808137893677e-02
9.774692058563232422e-01,7.221201658248901367e-01,7.411217689514160156e-02
9.033151268959045410e-01,7.855904102325439453e-01,7.525743544101715088e-02
8.251373171806335449e-01,8.417092561721801758e-01,7.445077598094940186e-02
7.439286112785339355e-01,8.905680179595947266e-01,7.181578129529953003e-02
6.605853438377380371e-01,9.324102401733398438e-01,6.751209497451782227e-02
5.758785605430603027e-01,9.676001667976379395e-01,6.172728538513183594e-02
4.904360175132751465e-01,9.965865015983581543e-01,5.466939136385917664e-02
4.047320485115051270e-01,1.019865751266479492e+00,4.655757546424865723e-02
3.190846443176269531e-01,1.037935256958007812e+00,3.761178627610206604e-02
2.336667478084564209e-01,1.051254987716674805e+00,2.804190665483474731e-02
1.485253721475601196e-01,1.060212254524230957e+00,1.803994178771972656e-02
6.360874325037002563e-02,1.065092325210571289e+00,7.776570506393909454e-03
-2.119986154139041901e-02,1.066060185432434082e+00,-2.595168538391590118e-03
-1.060453429818153381e-01,1.063148975372314453e+00,-1.293104514479637146e-02
-1.910629719495773315e-01,1.056258440017700195e+00,-2.308379858732223511e-02
-2.763414382934570312e-01,1.045162320137023926e+00,-3.289236500859260559e-02
-3.618871867656707764e-01,1.029521226882934570e+00,-4.217546433210372925e-02
-4.475934803485870361e-01,1.008908152580261230e+00,-5.073135718703269958e-02
-5.332160592079162598e-01,9.828379154205322266e-01,-5.834393948316574097e-02
-6.183597445487976074e-01,9.508101940155029297e-01,-6.479220092296600342e-02
-7.024728059768676758e-01,9.123461246490478516e-01,-6.986138224601745605e-02
-7.848532199859619141e-01,8.670339584350585938e-01,-7.335261255502700806e-02
-8.646649122238159180e-01,8.145666122436523438e-01,-7.509133964776992798e-02
-9.409603476524353027e-01,7.547733783721923828e-01,-7.493489980697631836e-02
-1.012706875801086426e+00,6.876461505889892578e-01,-7.278099656105041504e-02
-1.078817129135131836e+00,6.133577227592468262e-01,-6.857814639806747437e-02
-1.138184189796447754e+00,5.322751402854919434e-01,-6.233846023678779602e-02
-1.189718008041381836e+00,4.449670314788818359e-01,-5.415106937289237976e-02
-1.232392787933349609e+00,3.522044718265533447e-01,-4.419220611453056335e-02
-1.265294432640075684e+00,2.549533545970916748e-01,-3.273001313209533691e-02
-1.287675619125366211e+00,1.543539613485336304e-01,-2.011972106993198395e-02
-1.299004554748535156e+00,5.168468132615089417e-02,-6.788517814129590988e-03
-1.299004554748535156e+00,-5.168491229414939880e-02,6.788547616451978683e-03
-1.287675499916076660e+00,-1.543541848659515381e-01,2.011975459754467010e-02
-1.265294432640075684e+00,-2.549538612365722656e-01,3.273007273674011230e-02
-1.232392549514770508e+00,-3.522046506404876709e-01,4.419223219156265259e-02
-1.189717888832092285e+00,-4.449672698974609375e-01,5.415107309818267822e-02
-1.138183712959289551e+00,-5.322754979133605957e-01,6.233850121498107910e-02
-1.078817129135131836e+00,-6.133579015731811523e-01,6.857815384864807129e-02
-1.012706756591796875e+00,-6.876463294029235840e-01,7.278099656105041504e-02
-9.409602284431457520e-01,-7.547734975814819336e-01,7.493490725755691528e-02
-8.646648526191711426e-01,-8.145668506622314453e-01,7.509133219718933105e-02
-7.848529219627380371e-01,-8.670342564582824707e-01,7.335259020328521729e-02
-7.024723291397094727e-01,-9.123463034629821777e-01,6.986136734485626221e-02
-6.183592677116394043e-01,-9.508103728294372559e-01,6.479218602180480957e-02
-5.332158803939819336e-01,-9.828380346298217773e-01,5.834390968084335327e-02
-4.475933313369750977e-01,-1.008908271789550781e+00,5.073134601116180420e-02
-3.618870079517364502e-01,-1.029521346092224121e+00,4.217543825507164001e-02
-2.763412892818450928e-01,-1.045162439346313477e+00,3.289234638214111328e-02
-1.910626590251922607e-01,-1.056258559226989746e+00,2.308376133441925049e-02
-1.060448884963989258e-01,-1.063148856163024902e+00,1.293099299073219299e-02
-2.119942195713520050e-02,-1.066060185432434082e+00,2.595113590359687805e-03
6.360867619514465332e-02,-1.065092325210571289e+00,-7.776561193168163300e-03
1.485254317522048950e-01,-1.060212254524230957e+00,-1.803994737565517426e-02
2.336669564247131348e-01,-1.051255106925964355e+00,-2.804192900657653809e-02
3.190847933292388916e-01,-1.037935256958007812e+00,-3.761181235313415527e-02
