nx,ny,nz
1.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
9.931778311729431152e-01,1.023903489112854004e-01,5.580296367406845093e-02
9.730153679847717285e-01,2.027572989463806152e-01,1.101386472582817078e-01
9.403941631317138672e-01,2.992369830608367920e-01,1.616045683622360229e-01
8.966882824897766113e-01,3.902605772018432617e-01,2.089181244373321533e-01
8.436412215232849121e-01,4.746489524841308594e-01,2.509540617465972900e-01
7.832255363464355469e-01,5.516593456268310547e-01,2.867573201656341553e-01
7.175061702728271484e-01,6.209862828254699707e-01,3.155328929424285889e-01
6.485198140144348145e-01,6.827222108840942383e-01,3.366190493106842041e-01
5.781789422035217285e-01,7.372834086418151855e-01,3.494598567485809326e-01
5.081971287727355957e-01,7.853047847747802734e-01,3.535987138748168945e-01
4.400338232517242432e-01,8.275112509727478027e-01,3.487054705619812012e-01
3.748536109924316406e-01,8.645781874656677246e-01,3.346479237079620361e-01
3.134949207305908203e-01,8.970115780830383301e-01,3.115946054458618164e-01
2.564488053321838379e-01,9.250787496566772461e-01,2.801130414009094238e-01
2.038495242595672607e-01,9.488212466239929199e-01,2.412128746509552002e-01
1.554824709892272949e-01,9.681409001350402832e-01,1.962863653898239136e-01
1.108171790838241577e-01,9.829202294349670410e-01,1.469261944293975830e-01
6.906354427337646484e-02,9.931095242500305176e-01,9.467724710702896118e-02
2.924532815814018250e-02,9.987379312515258789e-01,4.083123430609703064e-02
-9.724742732942104340e-03,9.998598694801330566e-01,-1.362664438784122467e-02
-4.897876828908920288e-02,9.964901208877563477e-01,-6.788596510887145996e-02
-8.963403850793838501e-02,9.885882139205932617e-01,-1.210747435688972473e-01
-1.327313035726547241e-01,9.761034250259399414e-01,-1.720598191022872925e-01
-1.791633516550064087e-01,9.590421319007873535e-01,-2.194051146507263184e-01
-2.295990139245986938e-01,9.374948143959045410e-01,-2.615105211734771729e-01
-2.844163179397583008e-01,9.115836620330810547e-01,-2.968544363975524902e-01
-3.436577320098876953e-01,8.813514709472656250e-01,-3.242204785346984863e-01
-4.070107042789459229e-01,8.466503024101257324e-01,-3.428200781345367432e-01
-4.738081991672515869e-01,8.070898056030273438e-01,-3.522951006889343262e-01
-5.430454611778259277e-01,7.620667219161987305e-01,-3.526412546634674072e-01
-6.134063005447387695e-01,7.108637094497680664e-01,-3.441010713577270508e-01
-6.832980513572692871e-01,6.527834534645080566e-01,-3.270741999149322510e-01
-7.508997321128845215e-01,5.872858166694641113e-01,-3.020676374435424805e-01
-8.142261505126953125e-01,5.141051411628723145e-01,-2.696879208087921143e-01
-8.712128996849060059e-01,4.333409070968627930e-01,-2.306594103574752808e-01
-9.198249578475952148e-01,3.455142676830291748e-01,-1.858546435832977295e-01
-9.581865668296813965e-01,2.515891194343566895e-01,-1.363137662410736084e-01
-9.847218990325927734e-01,1.529487371444702148e-01,-8.324409276247024536e-02
-9.982896447181701660e-01,5.132349580526351929e-02,-2.799392119050025940e-02
-9.982896447181701660e-01,-5.132371559739112854e-02,2.799403853714466095e-02
-9.847218394279479980e-01,-1.529489755630493164e-01,8.324421942234039307e-02
-9.581863880157470703e-01,-2.515895962715148926e-01,1.363140344619750977e-01
-9.198248982429504395e-01,-3.455144762992858887e-01,1.858547329902648926e-01
-8.712127804756164551e-01,-4.333411455154418945e-01,2.306594848632812500e-01
-8.142258524894714355e-01,-5.141055583953857422e-01,2.696881294250488281e-01
-7.508996725082397461e-01,-5.872859954833984375e-01,3.020677864551544189e-01
-6.832978129386901855e-01,-6.527835726737976074e-01,3.270742893218994141e-01
-6.134061813354492188e-01,-7.108637690544128418e-01,3.441011011600494385e-01
-5.430453419685363770e-01,-7.620668411254882812e-01,3.526413738727569580e-01
-4.738079309463500977e-01,-8.070899844169616699e-01,3.522951006889343262e-01
-4.070103466510772705e-01,-8.466505408287048340e-01,3.428200185298919678e-01
-3.436574041843414307e-01,-8.813516497611999512e-01,3.242204189300537109e-01
-2.844162285327911377e-01,-9.115837216377258301e-01,2.968544661998748779e-01
-2.295988798141479492e-01,-9.374948740005493164e-01,2.615105509757995605e-01
-1.791632175445556641e-01,-9.590421915054321289e-01,2.194050550460815430e-01
-1.327311843633651733e-01,-9.761034250259399414e-01,1.720597445964813232e-01
-8.963386714458465576e-02,-9.885883331298828125e-01,1.210745647549629211e-01
-4.897854849696159363e-02,-9.964901804924011230e-01,6.788568198680877686e-02
-9.724540635943412781e-03,-9.998598098754882812e-01,1.362636592239141464e-02
2.924528717994689941e-02,-9.987379312515258789e-01,-4.083116352558135986e-02
6.906356662511825562e-02,-9.931094646453857422e-01,-9.467733651399612427e-02
1.108172982931137085e-01,-9.829202294349670410e-01,-1.469263732433319092e-01
1.554825901985168457e-01,-9.681409001350402832e-01,-1.962864249944686890e-01
2.038496285676956177e-01,-9.488212466239929199e-01,-2.412128299474716187e-01
2.564490437507629395e-01,-9.250786304473876953e-01,-2.801130712032318115e-01
3.134952485561370850e-01,-8.970113396644592285e-01,-3.115948140621185303e-01
3.748539984226226807e-01,-8.645780086517333984e-01,-3.346479833126068115e-01
4.400342404842376709e-01,-8.275109529495239258e-01,-3.487054705619812012e-01
5.081971287727355957e-01,-7.853047251701354980e-01,-3.535987138748168945e-01
5.781791210174560547e-01,-7.372832894325256348e-01,-3.494598269462585449e-01
6.485199332237243652e-01,-6.827220916748046875e-01,-3.366191089153289795e-01
7.175063490867614746e-01,-6.209860444068908691e-01,-3.155328929424285889e-01
7.832257747650146484e-01,-5.516590476036071777e-01,-2.867572605609893799e-01
8.436414599418640137e-01,-4.746485650539398193e-01,-2.509538829326629639e-01
8.966885209083557129e-01,-3.902601301670074463e-01,-2.089179009199142456e-01
9.403941631317138672e-01,-2.992370426654815674e-01,-1.616045832633972168e-01
9.730154275894165039e-01,-2.027572393417358398e-01,-1.101386100053787231e-01
9.931778311729431152e-01,-1.023902073502540588e-01,-5.580287799239158630e-02
1.000000000000000000e+00,2.250019690563931363e-07,1.203002994998314534e-07
9.725373387336730957e-01,3.712738305330276489e-02,2.297666519880294800e-01
9.488387703895568848e-01,1.364410817623138428e-01,2.847610414028167725e-01
9.131385087966918945e-01,2.301564514636993408e-01,3.364610970020294189e-01
8.673303127288818359e-01,3.168849050998687744e-01,3.838256001472473145e-01
8.135139346122741699e-01,3.957368731498718262e-01,4.261308014392852783e-01
7.538115382194519043e-01,4.663138091564178467e-01,4.629467129707336426e-01
6.902216672897338867e-01,5.286467075347900391e-01,4.940917789936065674e-01
6.245242953300476074e-01,5.831046700477600098e-01,5.195751786231994629e-01
5.582388043403625488e-01,6.302936077117919922e-01,5.395362377166748047e-01
4.926222562789916992e-01,6.709679961204528809e-01,5.541888475418090820e-01
4.286916553974151611e-01,7.059577703475952148e-01,5.637793540954589844e-01
3.672501146793365479e-01,7.361174225807189941e-01,5.685583353042602539e-01
3.089101016521453857e-01,7.622841000556945801e-01,5.687683820724487305e-01
2.541033327579498291e-01,7.852482795715332031e-01,5.646384358406066895e-01
2.030810266733169556e-01,8.057338595390319824e-01,5.563731789588928223e-01
1.559080928564071655e-01,8.243867158889770508e-01,5.441315174102783203e-01
1.124599054455757141e-01,8.417768478393554688e-01,5.279815196990966797e-01
7.242070138454437256e-02,8.584074974060058594e-01,5.078305006027221680e-01
3.528420627117156982e-02,8.747236728668212891e-01,4.833357036113739014e-01
3.424986789468675852e-04,8.910934329032897949e-01,4.538196921348571777e-01
-3.334753587841987610e-02,9.077228903770446777e-01,4.182429015636444092e-01
-6.700881570577621460e-02,9.244709014892578125e-01,3.753177821636199951e-01
-1.021644473075866699e-01,9.405668377876281738e-01,3.238770365715026855e-01
-1.405618488788604736e-01,9.543530941009521484e-01,2.635385096073150635e-01
-1.839417368173599243e-01,9.632920026779174805e-01,1.955350488424301147e-01
-2.336749285459518433e-01,9.644684791564941406e-01,1.232749298214912415e-01
-2.904142439365386963e-01,9.554831385612487793e-01,5.207135528326034546e-02
-3.539481759071350098e-01,9.351868629455566406e-01,-1.209614425897598267e-02
-4.233006536960601807e-01,9.037144184112548828e-01,-6.416272372007369995e-02
-4.969399869441986084e-01,8.618885278701782227e-01,-1.009893417358398438e-01
-5.729506611824035645e-01,8.105402588844299316e-01,-1.214578300714492798e-01
-6.491254568099975586e-01,7.501781582832336426e-01,-1.259714514017105103e-01
-7.230244874954223633e-01,6.810405254364013672e-01,-1.158422678709030151e-01
-7.920594215393066406e-01,6.033433675765991211e-01,-9.283746778964996338e-02
-8.536227941513061523e-01,5.175478458404541016e-01,-5.892654135823249817e-02
-9.052633047103881836e-01,4.245432019233703613e-01,-1.617043092846870422e-02
-9.448811411857604980e-01,3.257129192352294922e-01,3.332700580358505249e-02
-9.709120392799377441e-01,2.228935211896896362e-01,8.745414763689041138e-02
-9.824664592742919922e-01,1.182452291250228882e-01,1.441445946693420410e-01
-9.793984889984130859e-01,1.407120376825332642e-02,2.014463841915130615e-01
-9.622931480407714844e-01,-8.737908303737640381e-02,2.575981020927429199e-01
-9.323775768280029297e-01,-1.840969175100326538e-01,3.110956549644470215e-01
-8.913690447807312012e-01,-2.744618356227874756e-01,3.607379198074340820e-01
-8.412889838218688965e-01,-3.573315143585205078e-01,4.056438505649566650e-01
-7.842691540718078613e-01,-4.320669770240783691e-01,4.452415108680725098e-01
-7.223852872848510742e-01,-4.984945952892303467e-01,4.792313277721405029e-01
-6.575351953506469727e-01,-5.568266510963439941e-01,5.075348019599914551e-01
-5.913704633712768555e-01,-6.075632572174072266e-01,5.302338004112243652e-01
-5.252779722213745117e-01,-6.513944864273071289e-01,5.475109815597534180e-01
-4.603911936283111572e-01,-6.891201734542846680e-01,5.596010684967041016e-01
-3.976169228553771973e-01,-7.215883731842041016e-01,5.667547583580017090e-01
-3.376609683036804199e-01,-7.496491074562072754e-01,5.692198276519775391e-01
-2.810448408126831055e-01,-7.741195559501647949e-01,5.672324895858764648e-01
-2.281107604503631592e-01,-7.957587838172912598e-01,5.610111951828002930e-01
