x,y,z
1.306668639183044434e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.293537139892578125e+00,1.030976474285125732e-01,-4.390859231352806091e-02
1.256273746490478516e+00,2.015356123447418213e-01,-8.136593550443649292e-02
1.200407147407531738e+00,2.919816076755523682e-01,-1.074570193886756897e-01
1.132638573646545410e+00,3.730027675628662109e-01,-1.200107485055923462e-01
1.058645844459533691e+00,4.446835517883300781e-01,-1.195544004440307617e-01
9.825490713119506836e-01,5.080389380455017090e-01,-1.079784631729125977e-01
9.077444672584533691e-01,5.649933815002441406e-01,-8.740813285112380981e-02
8.371588587760925293e-01,6.184637546539306641e-01,-6.016177684068679810e-02
7.723921537399291992e-01,6.717299818992614746e-01,-2.884699963033199310e-02
7.132457494735717773e-01,7.275704741477966309e-01,4.148735664784908295e-03
6.582669019699096680e-01,7.880210876464843750e-01,3.691702336072921753e-02
6.052398681640625000e-01,8.542906045913696289e-01,6.745818257331848145e-02
5.512090325355529785e-01,9.261500239372253418e-01,9.327363967895507812e-02
4.928934574127197266e-01,1.001580119132995605e+00,1.117993444204330444e-01
4.275970458984375000e-01,1.077482223510742188e+00,1.207934468984603882e-01
3.536453843116760254e-01,1.150356292724609375e+00,1.181485354900360107e-01
2.702290117740631104e-01,1.215746760368347168e+00,1.021709740161895752e-01
1.775769740343093872e-01,1.267590045928955078e+00,7.291559129953384399e-02
7.759213447570800781e-02,1.299236297607421875e+00,3.329868242144584656e-02
-2.596810273826122284e-02,1.305836796760559082e+00,-1.124095637351274490e-02
-1.283050775527954102e-01,1.286312103271484375e+00,-5.410779267549514771e-02
-2.249847501516342163e-01,1.243789076805114746e+00,-8.909162133932113647e-02
-3.131373822689056396e-01,1.184329867362976074e+00,-1.118826568126678467e-01
-3.917724490165710449e-01,1.114540815353393555e+00,-1.210534647107124329e-01
-4.612454175949096680e-01,1.039680719375610352e+00,-1.176201626658439636e-01
-5.227789878845214844e-01,9.636000990867614746e-01,-1.035945117473602295e-01
-5.785580277442932129e-01,8.896097540855407715e-01,-8.112329244613647461e-02
-6.316777467727661133e-01,8.204000592231750488e-01,-5.261233821511268616e-02
-6.853571534156799316e-01,7.571197748184204102e-01,-2.067498117685317993e-02
-7.421868443489074707e-01,6.991848349571228027e-01,1.243254728615283966e-02
-8.040211200714111328e-01,6.449301838874816895e-01,4.485106095671653748e-02
-8.717816472053527832e-01,5.919554233551025391e-01,7.445949316024780273e-02
-9.447842836380004883e-01,5.371537804603576660e-01,9.868137538433074951e-02
-1.020641565322875977e+00,4.773059785366058350e-01,1.150241941213607788e-01
-1.096134066581726074e+00,4.099656939506530762e-01,1.213040575385093689e-01
-1.167615175247192383e+00,3.336917459964752197e-01,1.154442504048347473e-01
-1.230244040489196777e+00,2.478907853364944458e-01,9.603994339704513550e-02
-1.277634739875793457e+00,1.531503647565841675e-01,6.380466371774673462e-02
-1.303350448608398438e+00,5.185759812593460083e-02,2.237543277442455292e-02
-1.303350448608398438e+00,-5.185782536864280701e-02,-2.237552404403686523e-02
-1.277634620666503906e+00,-1.531505882740020752e-01,-6.380474567413330078e-02
-1.230243563652038574e+00,-2.478912174701690674e-01,-9.604006260633468628e-02
-1.167615056037902832e+00,-3.336919248104095459e-01,-1.154443174600601196e-01
-1.096133947372436523e+00,-4.099658429622650146e-01,-1.213040724396705627e-01
-1.020641088485717773e+00,-4.773063063621520996e-01,-1.150241419672966003e-01
-9.447842240333557129e-01,-5.371539592742919922e-01,-9.868131577968597412e-02
-8.717815876007080078e-01,-5.919555425643920898e-01,-7.445943355560302734e-02
-8.040209412574768066e-01,-6.449301838874816895e-01,-4.485098272562026978e-02
-7.421867847442626953e-01,-6.991850733757019043e-01,-1.243247464299201965e-02
-6.853569149971008301e-01,-7.571201324462890625e-01,2.067515254020690918e-02
-6.316773891448974609e-01,-8.204002976417541504e-01,5.261250212788581848e-02
-5.785576701164245605e-01,-8.896101117134094238e-01,8.112344890832901001e-02
-5.227788686752319336e-01,-9.636001586914062500e-01,1.035945415496826172e-01
-4.612452983856201172e-01,-1.039680838584899902e+00,1.176201999187469482e-01
-3.917722702026367188e-01,-1.114541053771972656e+00,1.210534647107124329e-01
-3.131372332572937012e-01,-1.184329986572265625e+00,1.118826344609260559e-01
-2.249843925237655640e-01,-1.243789315223693848e+00,8.909152448177337646e-02
-1.283045560121536255e-01,-1.286312460899353027e+00,5.410758405923843384e-02
-2.596756629645824432e-02,-1.305836915969848633e+00,1.124072168022394180e-02
7.759205251932144165e-02,-1.299236297607421875e+00,-3.329864144325256348e-02
1.775770634412765503e-01,-1.267590165138244629e+00,-7.291561365127563477e-02
2.702292203903198242e-01,-1.215746760368347168e+00,-1.021710336208343506e-01
3.536455333232879639e-01,-1.150356054306030273e+00,-1.181485280394554138e-01
4.275972247123718262e-01,-1.077482223510742188e+00,-1.207934468984603882e-01
4.928936958312988281e-01,-1.001579880714416504e+00,-1.117992922663688660e-01
5.512093901634216309e-01,-9.261497259140014648e-01,-9.327350556850433350e-02
6.052401065826416016e-01,-8.542901873588562012e-01,-6.745803356170654297e-02
6.582671999931335449e-01,-7.880206704139709473e-01,-3.691682219505310059e-02
7.132458686828613281e-01,-7.275705337524414062e-01,-4.148715175688266754e-03
7.723922729492187500e-01,-6.717298626899719238e-01,2.884704060852527618e-02
8.371587991714477539e-01,-6.184635758399963379e-01,6.016183644533157349e-02
9.077447056770324707e-01,-5.649932026863098145e-01,8.740819990634918213e-02
9.825493097305297852e-01,-5.080386400222778320e-01,1.079785376787185669e-01
1.058646082878112793e+00,-4.446832239627838135e-01,1.195544302463531494e-01
1.132639050483703613e+00,-3.730023801326751709e-01,1.200107634067535400e-01
1.200407147407531738e+00,-2.919816374778747559e-01,1.074570119380950928e-01
1.256273865699768066e+00,-2.015355378389358521e-01,8.136591315269470215e-02
1.293537259101867676e+00,-1.030975133180618286e-01,4.390854015946388245e-02
1.306668639183044434e+00,2.284651969830520102e-07,-9.724465144245186821e-08
1.293687701225280762e+00,0.000000000000000000e+00,9.395842254161834717e-02
1.293674230575561523e+00,1.031085774302482605e-01,4.603380709886550903e-02
1.266970276832580566e+00,2.032515853643417358e-01,-1.382500864565372467e-03
1.216653108596801758e+00,2.959331870079040527e-01,-4.172804206609725952e-02
1.148724198341369629e+00,3.783001005649566650e-01,-7.002648711204528809e-02
1.070329785346984863e+00,4.495913982391357422e-01,-8.367234468460083008e-02
9.882376194000244141e-01,5.109802484512329102e-01,-8.240655064582824707e-02
9.080510139465332031e-01,5.651841759681701660e-01,-6.791215389966964722e-02
8.336404561996459961e-01,6.158645153045654297e-01,-4.327289760112762451e-02
7.665402889251708984e-01,6.666408181190490723e-01,-1.210409775376319885e-02
7.060284614562988281e-01,7.202082276344299316e-01,2.239215746521949768e-02
6.499764919281005859e-01,7.780964970588684082e-01,5.775325372815132141e-02
5.955996513366699219e-01,8.406835198402404785e-01,9.197656065225601196e-02
5.398413538932800293e-01,9.070498347282409668e-01,1.233078613877296448e-01
4.799914360046386719e-01,9.753627181053161621e-01,1.501125842332839966e-01
4.143245220184326172e-01,1.044037461280822754e+00,1.702934056520462036e-01
3.418703377246856689e-01,1.112053751945495605e+00,1.806910485029220581e-01
2.616775333881378174e-01,1.177274227142333984e+00,1.777167916297912598e-01
1.729559004306793213e-01,1.234603643417358398e+00,1.592366695404052734e-01
7.623976469039916992e-02,1.276591539382934570e+00,1.261189430952072144e-01
-2.577661909162998199e-02,1.296207785606384277e+00,8.231058716773986816e-02
-1.286174803972244263e-01,1.289444088935852051e+00,3.386056050658226013e-02
-2.272673398256301880e-01,1.256407976150512695e+00,-1.236235070973634720e-02
-3.175577223300933838e-01,1.201048254966735840e+00,-5.007663369178771973e-02
-3.971458375453948975e-01,1.129827499389648438e+00,-7.485920190811157227e-02
-4.657840430736541748e-01,1.049911022186279297e+00,-8.471784740686416626e-02
-5.250716209411621094e-01,9.678259491920471191e-01,-7.992136478424072266e-02
-5.780341029167175293e-01,8.888041973114013672e-01,-6.256311386823654175e-02
-6.284242868423461914e-01,8.161746263504028320e-01,-3.595510870218276978e-02
-6.796920895576477051e-01,7.508615851402282715e-01,-3.684192430227994919e-03
-7.342402338981628418e-01,6.916987299919128418e-01,3.123456612229347229e-02
-7.933158278465270996e-01,6.363431215286254883e-01,6.648820638656616211e-02
-8.569847345352172852e-01,5.819080471992492676e-01,1.001440584659576416e-01
-9.240211844444274902e-01,5.253490209579467773e-01,1.305008381605148315e-01
-9.925408363342285156e-01,4.641645848751068115e-01,1.558829993009567261e-01
-1.061148762702941895e+00,3.968808054924011230e-01,1.739548593759536743e-01
-1.128763318061828613e+00,3.225882649421691895e-01,1.813255548477172852e-01
-1.192614436149597168e+00,2.403085380792617798e-01,1.745739579200744629e-01
-1.246845364570617676e+00,1.494596302509307861e-01,1.522225290536880493e-01
