nx,ny,nz
1.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
9.719532728195190430e-01,1.925557553768157959e-01,-1.350150853395462036e-01
8.959882855415344238e-01,3.630204498767852783e-01,-2.557756900787353516e-01
7.913712263107299805e-01,5.005863904953002930e-01,-3.509199619293212891e-01
6.789819598197937012e-01,6.069264411926269531e-01,-4.130662977695465088e-01
5.771191716194152832e-01,6.901357769966125488e-01,-4.366304278373718262e-01
5.051519870758056641e-01,7.566855549812316895e-01,-4.150281250476837158e-01
4.863711297512054443e-01,8.033795952796936035e-01,-3.435466587543487549e-01
5.333477854728698730e-01,8.138699531555175781e-01,-2.305553555488586426e-01
6.239903569221496582e-01,7.744656801223754883e-01,-1.041097119450569153e-01
7.180203795433044434e-01,6.958696246147155762e-01,1.456543989479541779e-02
7.887982726097106934e-01,5.995823740959167480e-01,1.352710127830505371e-01
8.157371878623962402e-01,5.159900784492492676e-01,2.613946795463562012e-01
7.942847013473510742e-01,4.849332273006439209e-01,3.659939467906951904e-01
7.415506243705749512e-01,5.190847516059875488e-01,4.250337183475494385e-01
6.710419654846191406e-01,6.006183624267578125e-01,4.346955716609954834e-01
5.828621983528137207e-01,7.067758440971374512e-01,4.009235799312591553e-01
4.693559706211090088e-01,8.190277218818664551e-01,3.299976885318756104e-01
3.233078718185424805e-01,9.185119271278381348e-01,2.276134192943572998e-01
1.457606106996536255e-01,9.840403199195861816e-01,1.020708829164505005e-01
-4.911495372653007507e-02,9.982028007507324219e-01,-3.433535993099212646e-02
-2.379067093133926392e-01,9.568142890930175781e-01,-1.670534163713455200e-01
-4.006112515926361084e-01,8.716701865196228027e-01,-2.823148369789123535e-01
-5.298327207565307617e-01,7.632479667663574219e-01,-3.697699010372161865e-01
-6.295527219772338867e-01,6.518420577049255371e-01,-4.228064417839050293e-01
-7.082367539405822754e-01,5.554560422897338867e-01,-4.357399344444274902e-01
-7.706570029258728027e-01,4.945813417434692383e-01,-4.018422067165374756e-01
-8.102145791053771973e-01,4.921241402626037598e-01,-3.183807432651519775e-01
-8.087195754051208496e-01,5.535447597503662109e-01,-1.988991349935531616e-01
-7.576527595520019531e-01,6.484887599945068359e-01,-7.365205138921737671e-02
-6.725811362266540527e-01,7.387219071388244629e-01,4.386917129158973694e-02
-5.758689045906066895e-01,8.003079295158386230e-01,1.669796258211135864e-01
-5.020925998687744141e-01,8.144392967224121094e-01,2.908463776111602783e-01
-4.877394437789916992e-01,7.832742929458618164e-01,3.854756951332092285e-01
-5.359847545623779297e-01,7.253788709640502930e-01,4.319094121456146240e-01
-6.256268620491027832e-01,6.508823037147521973e-01,4.300504028797149658e-01
-7.349551916122436523e-01,5.572128891944885254e-01,3.864643275737762451e-01
-8.459036946296691895e-01,4.360501766204833984e-01,3.070947527885437012e-01
-9.388977289199829102e-01,2.815568447113037109e-01,1.979821920394897461e-01
-9.928473234176635742e-01,9.782940149307250977e-02,6.843589246273040771e-02
-9.928473234176635742e-01,-9.782980382442474365e-02,-6.843620538711547852e-02
-9.388974308967590332e-01,-2.815572023391723633e-01,-1.979824155569076538e-01
-8.459030985832214355e-01,-4.360508918762207031e-01,-3.070952296257019043e-01
-7.349549531936645508e-01,-5.572130084037780762e-01,-3.864645957946777344e-01
-6.256266236305236816e-01,-6.508823633193969727e-01,-4.300504028797149658e-01
