nx,ny,nz
-8.652986202131367380e-16,-4.223069513400746766e-01,9.064528883785686331e-01
3.826834323650872838e-01,-3.901607487803359642e-01,8.374532707586981317e-01
7.071067811865445751e-01,-2.986161090347862479e-01,6.409589841986198522e-01
9.238795325112849621e-01,-1.616098736504592293e-01,3.468845026019615196e-01
9.999999999999990008e-01,-2.074839134201589702e-15,5.550423141653458743e-17
9.238795325112856283e-01,1.616098736504553990e-01,-3.468845026019614641e-01
7.071067811865460184e-01,2.986161090347833058e-01,-6.409589841986197412e-01
3.826834323650888936e-01,3.901607487803343544e-01,-8.374532707586980207e-01
9.877633001278714917e-16,4.223069513400746766e-01,-9.064528883785686331e-01
-3.826834323650871172e-01,3.901607487803359642e-01,-8.374532707586981317e-01
-7.071067811865445751e-01,2.986161090347863034e-01,-6.409589841986199632e-01
-9.238795325112847401e-01,1.616098736504594235e-01,-3.468845026019619637e-01
-9.999999999999990008e-01,2.126556819823219986e-15,-1.665126942496037561e-16
-9.238795325112855172e-01,-1.616098736504555100e-01,3.468845026019617417e-01
-7.071067811865461294e-01,-2.986161090347832503e-01,6.409589841986197412e-01
-3.826834323650894487e-01,-3.901607487803342988e-01,8.374532707586979097e-01
5.217323406621303660e-05,-4.231241360878463809e-01,9.060717205265071961e-01
3.801778718819447400e-01,-3.509163766793869099e-01,8.557584252051068097e-01
7.024249358567875579e-01,-2.252847799863667289e-01,6.751636671156707736e-01
9.177341708453344848e-01,-6.535561775203822810e-02,3.917813610817569847e-01
9.933266976036543294e-01,1.045233448348878713e-01,4.875389433002774719e-02
9.176942391807544341e-01,2.584895756771826703e-01,-3.016959108782955035e-01
7.023511517615784738e-01,3.731031118364649402e-01,-6.062152485356406828e-01
3.800814683157474061e-01,4.309150814067764790e-01,-8.184438099583469794e-01
-5.217323406609138912e-05,4.231241360878463809e-01,-9.060717205265071961e-01
-3.801778718819445180e-01,3.509163766793869099e-01,-8.557584252051066986e-01
-7.024249358567874468e-01,2.252847799863667289e-01,-6.751636671156707736e-01
-9.177341708453342628e-01,6.535561775203845014e-02,-3.917813610817573733e-01
-9.933266976036543294e-01,-1.045233448348878158e-01,-4.875389433002785822e-02
-9.176942391807543231e-01,-2.584895756771827813e-01,3.016959108782957810e-01
-7.023511517615785849e-01,-3.731031118364648846e-01,6.062152485356405718e-01
-3.800814683157479057e-01,-4.309150814067764235e-01,8.184438099583467574e-01
5.149456865827368958e-04,-4.255157070137591258e-01,9.049508925436331452e-01
3.729667231479028011e-01,-3.136497382678036239e-01,8.732237199646214476e-01
6.886376979617191418e-01,-1.540334401125326436e-01,7.085561518137295511e-01
8.994698257771407413e-01,2.903305298325981054e-02,4.360173326267079430e-01
9.733658263322676474e-01,2.076795269476316430e-01,9.709882705423267257e-02
8.990757034114946755e-01,3.547086755538264025e-01,-2.566020947341903780e-01
6.879094547878683574e-01,4.477366437491019369e-01,-5.712376737031140683e-01
3.720152275875253656e-01,4.726007666763593074e-01,-7.989074951331455177e-01
-5.149456865826177419e-04,4.255157070137591258e-01,-9.049508925436331452e-01
-3.729667231479026901e-01,3.136497382678036794e-01,-8.732237199646215586e-01
