nx,ny,nz
9.965985997769233329e-01,-8.240892501830414385e-02,-1.114522938763210071e-12
9.967804675496608757e-01,-7.563841370521126595e-02,-2.659943389689286772e-02
9.963657966496651808e-01,-5.573260292126046983e-02,-6.441332345325950781e-02
9.883642214568766349e-01,-2.225420741650285805e-02,-1.504689868251823937e-01
5.527660823331933537e-01,6.669035226545291795e-02,-8.306636233377996392e-01
-9.780264844914854372e-01,-1.058484253292967144e-02,-2.082118074023863452e-01
-9.950404465351085914e-01,-4.872524618912012911e-02,-8.672001004967504201e-02
-9.966338903134590588e-01,-7.185149670734986005e-02,-3.947468935367852427e-02
-9.966065179542474839e-01,-8.198266524746317119e-02,-7.368240633214537955e-03
-9.966512266270495246e-01,-7.858500771786171291e-02,2.259931469706794038e-02
-9.962939087935629434e-01,-6.188003442461968012e-02,5.974369121879734984e-02
-9.912317350884626288e-01,-3.214817830586067654e-02,1.281645114106211847e-01
-8.922349241170917100e-01,2.599482365989854576e-02,4.508227027653285979e-01
9.602323442915041696e-01,4.134343055501915956e-03,2.791715461574243995e-01
9.945564797696706538e-01,-4.094400601155392949e-02,9.581751885683942316e-02
9.968063288725823590e-01,-6.728318934167495935e-02,4.301296492423549445e-02
9.966562547506618852e-01,-8.070833404883459572e-02,1.274655566975047179e-02
9.966145521908948979e-01,-8.163804994713547147e-02,-9.729499584620620103e-03
9.966161361419760834e-01,-7.018606504919450151e-02,-4.278076032919470723e-02
9.943377443715024633e-01,-4.540398419134432373e-02,-9.607772029840570827e-02
9.681919138956119886e-01,-3.611660546682971939e-03,-2.501826808059149920e-01
-6.931538124925927802e-01,5.438724081297183904e-02,-7.187348748069067872e-01
-9.855024293730999529e-01,-2.410736028807445794e-02,-1.679398609016036492e-01
-9.954051384492292875e-01,-5.731639201471450118e-02,-7.670359545210851671e-02
-9.965604037105301183e-01,-7.659481630592065993e-02,-3.163219675208982229e-02
-9.965987432818055325e-01,-8.236064057100375702e-02,2.769435656514706960e-03
-9.965123338629038319e-01,-7.430324577913884065e-02,3.797625739575508086e-02
-9.948237793105751958e-01,-5.282031616291692211e-02,8.680819269324550891e-02
-9.802801949386906744e-01,-1.668097157593783145e-02,1.969072995047035923e-01
-1.891860145090166201e-01,8.057794917245479638e-02,9.786295754887582854e-01
9.786849329643064754e-01,-1.265660333570684491e-02,2.049771020886059503e-01
9.951623577847961144e-01,-5.046792470642072481e-02,8.429039224031717459e-02
9.966606022103988716e-01,-7.303113503529710948e-02,3.652529694686870027e-02
9.966027579470034814e-01,-8.221611090819967715e-02,4.842928819738356871e-03
9.965990518656542285e-01,-7.927173333676364175e-02,-2.250160248203973007e-02
9.959295634334017766e-01,-6.299705475957242951e-02,-6.446453110794994612e-02
9.892381526953708537e-01,-3.278315430336102565e-02,-1.425943268358309257e-01
8.875782454146614597e-01,2.510376264961654974e-02,-4.599724550094709263e-01
-9.129295234861537489e-01,1.714477743090835407e-02,-4.077569640780751015e-01
-9.892437566161657037e-01,-3.585897639430968981e-02,-1.418129888546197370e-01
-9.956839182581713743e-01,-6.484787761899886427e-02,-6.639493723440545447e-02
-9.965521594933832716e-01,-8.000170921084774622e-02,-2.198908666617671592e-02
-9.965775636189811992e-01,-8.117965957004902311e-02,1.558918097084438514e-02
-9.959834804963055843e-01,-6.832291459989889293e-02,5.786955951996740344e-02
-9.913284103035419070e-01,-4.172917000795740849e-02,1.246060162893107143e-01
-9.469763673265024773e-01,4.339883993661227193e-03,3.212739098215205424e-01
7.715441478192713864e-01,4.542276331114351862e-02,6.345521259431590178e-01
9.859254509457885396e-01,-2.611812168050594435e-02,1.651328219864747204e-01
9.955420367442876506e-01,-5.896188481135436477e-02,7.361758767116938218e-02
9.965834772934618613e-01,-7.751325536205075362e-02,2.851434777169024187e-02
9.965985997775671512e-01,-8.240892501050919861e-02,8.883713883202493130e-13
9.964024588767893542e-01,-7.522946752910120161e-02,-3.902136798692268371e-02
9.941312139567799466e-01,-5.392982835886840631e-02,-9.378007810828097035e-02
9.764407623826392157e-01,-1.699723058539844359e-02,-2.151151591822987041e-01
4.199459700125880435e-01,7.325203646872788243e-02,-9.045880396198741069e-01
-9.571949089010000078e-01,-3.655876054765357357e-03,-2.894210444046250164e-01
-9.914746233129964059e-01,-4.633263169364669476e-02,-1.217840653233630693e-01
-9.959280657012005156e-01,-7.119716499704409340e-02,-5.530146150910676683e-02
-9.965825481482774029e-01,-8.195749207029723316e-02,-1.030505797307024879e-02
-9.964237121569348155e-01,-7.835564808805414727e-02,3.162559507882200388e-02
-9.946411279726911081e-01,-6.053719248878295517e-02,8.381094720132069298e-02
-9.832954746212554387e-01,-2.810766520238080005e-02,1.798331692047409613e-01
-8.106207390398244561e-01,3.793092099047237070e-02,5.843417344938786062e-01
9.223107763670097548e-01,1.344759924255906763e-02,3.862149581151353983e-01
9.896284469702432141e-01,-3.783751371472975078e-02,1.385779906880739709e-01
9.958128797117435926e-01,-6.632869021498299933e-02,6.290638643701920718e-02
9.965698175008732562e-01,-8.060810022469848402e-02,1.873320646435817222e-02
9.965706538185270524e-01,-8.159236168847415482e-02,-1.377020195224162684e-02
9.957610263725157340e-01,-6.942161385423596676e-02,-6.033753299084551602e-02
9.900173745434760475e-01,-4.273393639357497137e-02,-1.343108662109811224e-01
9.408094823179321553e-01,4.044123374399816867e-03,-3.389117334156195316e-01
-5.707283269566949535e-01,6.349121242299578249e-02,-8.186806720292295614e-01
-9.735038561746808261e-01,-1.921260432477599547e-02,-2.278620588164554095e-01
-9.929679136204860868e-01,-5.562741843017879328e-02,-1.045003006644746740e-01
-9.961605889566589322e-01,-7.623988277383787759e-02,-4.302977206711670194e-02
