nx,ny,nz
9.965985997769233329e-01,-8.240892501830414385e-02,-1.114522938763210071e-12
9.966053910415616501e-01,-8.221969754257194007e-02,-4.197127934744697593e-03
9.966251902727771839e-01,-8.165242669044286972e-02,-8.432753364657853690e-03
9.966562547504317360e-01,-8.070833405158626961e-02,-1.274655567032485781e-02
9.966956137094307167e-01,-7.938941062511846447e-02,-1.718066043474526794e-02
9.967389587039555687e-01,-7.769834502667587184e-02,-2.178107852853929452e-02
9.967804675496608757e-01,-7.563841370521126595e-02,-2.659943389689286772e-02
9.968125340723263950e-01,-7.321332225703143515e-02,-3.169513149351951137e-02
9.968253588707174373e-01,-7.042698103203680338e-02,-3.713817786287418321e-02
9.968063288724646753e-01,-6.728318934231615478e-02,-4.301296492595921284e-02
9.967390675216315499e-01,-6.378518864819734957e-02,-4.942348617022064572e-02
9.966019577487524872e-01,-5.993502248022489209e-02,-5.650071585072293651e-02
9.963657966496651808e-01,-5.573260292126046983e-02,-6.441332345325950781e-02
9.959899733242605357e-01,-5.117431764349732182e-02,-7.338366474397503558e-02
9.954160399954686822e-01,-4.625089296513361370e-02,-8.371237793577274156e-02
9.945564797691048842e-01,-4.094400601871569373e-02,-9.581751885965084092e-02
9.932741654459312786e-01,-3.522070205766440754e-02,-1.102992946679503539e-01
9.913426664912606823e-01,-2.902376688731875612e-02,-1.280520931092519465e-01
9.883642214568766349e-01,-2.225420741650285805e-02,-1.504689868251823937e-01
9.835855573898432125e-01,-1.473727089084733537e-02,-1.798395511026195659e-01
9.754387853944238573e-01,-6.151350288044902040e-03,-2.201847788514762483e-01
9.602323442996090197e-01,4.134343051995905370e-03,-2.791715461295995460e-01
9.277025125192316368e-01,1.746341647490468746e-02,-3.729116213669262936e-01
8.421987813661344635e-01,3.687159563489680880e-02,-5.379049154829389501e-01
5.527660823331933537e-01,6.669035226545291795e-02,-8.306636233377996392e-01
-2.147040987540286272e-01,8.009856154203227885e-02,-9.733891156249228072e-01
-7.389071273173083432e-01,5.020560350367199443e-02,-6.719342635827419974e-01
-8.922349241134641673e-01,2.599482365592206690e-02,-4.508227027727371161e-01
-9.441423942767698252e-01,1.025099964426940541e-02,-3.293782875898245144e-01
-9.665666098892364833e-01,-1.277289645514614663e-03,-2.564124746933679755e-01
-9.780264844914854372e-01,-1.058484253292967144e-02,-2.082118074023863452e-01
-9.845751140679886992e-01,-1.857260037607292788e-02,-1.739738580168543880e-01
-9.886115953175341753e-01,-2.568255647936506375e-02,-1.482818933531549199e-01
-9.912317350878586675e-01,-3.214817831021585942e-02,-1.281645114141985731e-01
-9.929924647312278196e-01,-3.809938692941725047e-02,-1.118677867064376413e-01
-9.942014377362649036e-01,-4.361070929963913045e-02,-9.829347505058479151e-02
-9.950404465351085914e-01,-4.872524618912012911e-02,-8.672001004967504201e-02
-9.956231174316455546e-01,-5.346745975864141548e-02,-7.665402000315843511e-02
-9.960239603551941379e-01,-5.785040638125562434e-02,-6.774659312373715325e-02
-9.962939087937116023e-01,-6.188003442496179535e-02,-5.974369121596075777e-02
-9.964690590140118376e-01,-6.555784723752729193e-02,-5.245553443924045461e-02
-9.965757934632646364e-01,-6.888261306537346584e-02,-4.573700362230050803e-02
-9.966338903134590588e-01,-7.185149670734986005e-02,-3.947468935367852427e-02
-9.966584657745783948e-01,-7.446082764008357668e-02,-3.357808432613808292e-02
-9.966612161175745221e-01,-7.670663216102717452e-02,-2.797343149394044062e-02
-9.966512266265589171e-01,-7.858500772371446175e-02,-2.259931469835349885e-02
-9.966355053241041650e-01,-8.009238868082563245e-02,-1.740341353766836768e-02
-9.966193371790482702e-01,-8.122573509191635677e-02,-1.234004536331713246e-02
-9.966065179542474839e-01,-8.198266524746317119e-02,-7.368240633214537955e-03
-9.965995045566453658e-01,-8.236154540901768906e-02,-2.450174541447859046e-03
-9.965995045567500599e-01,-8.236154540789840384e-02,2.450174536551625454e-03
-9.966065179545428032e-01,-8.198266524427372248e-02,7.368240628756851131e-03
-9.966193371794832556e-01,-8.122573508712946366e-02,1.234004535968061256e-02
-9.966355053246067630e-01,-8.009238867512483151e-02,1.740341353513341280e-02
-9.966512266270495246e-01,-7.858500771786171291e-02,2.259931469706794038e-02
-9.966612161179839724e-01,-7.670663215571914273e-02,2.797343149391049930e-02
-9.966584657748593923e-01,-7.446082763582738406e-02,3.357808432723883435e-02
-9.966338903135937288e-01,-7.185149670438295555e-02,3.947468935568144294e-02
-9.965757934632645254e-01,-6.888261306364226733e-02,4.573700362490937948e-02
-9.964690590139125836e-01,-6.555784723672601622e-02,5.245553444212758959e-02
-9.962939087935629434e-01,-6.188003442461968012e-02,5.974369121879734984e-02
-9.960239603550496978e-01,-5.785040638084871373e-02,6.774659312620991136e-02
-9.956231174315560706e-01,-5.346745975770557380e-02,7.665402000497445467e-02
-9.950404465351192496e-01,-4.872524618733808238e-02,8.672001005055404721e-02
-9.942014377364186695e-01,-4.361070929688559000e-02,9.829347505025103071e-02
-9.929924647315738762e-01,-3.809938692575718516e-02,1.118677867046140029e-01
-9.912317350884626288e-01,-3.214817830586067654e-02,1.281645114106211847e-01
-9.886115953184894112e-01,-2.568255647460342475e-02,1.482818933476102441e-01
-9.845751140694228853e-01,-1.857260037119543017e-02,1.739738580092583531e-01
