x,y,z
3.455029395403595771e+00,0.000000000000000000e+00,-7.307888769050370492e-03
3.357608300589094430e+00,0.000000000000000000e+00,1.456057022590775407e-01
3.215380598735992024e+00,0.000000000000000000e+00,2.198100496729347431e-01
3.095245262324867852e+00,0.000000000000000000e+00,2.508778683137968257e-01
2.988565341215694726e+00,0.000000000000000000e+00,2.592195222676066391e-01
2.882897153380771904e+00,0.000000000000000000e+00,2.485360503335325155e-01
2.766731790218781573e+00,0.000000000000000000e+00,2.159219570166157065e-01
2.630674613194328160e+00,0.000000000000000000e+00,1.433894863147134324e-01
2.526909210233628578e+00,0.000000000000000000e+00,-7.036821571603194860e-03
2.635244760166892686e+00,0.000000000000000000e+00,-1.560682604319646727e-01
2.771247783775412366e+00,0.000000000000000000e+00,-2.259943947148012611e-01
2.885340564177341527e+00,0.000000000000000000e+00,-2.570163022906105654e-01
2.988302743783740834e+00,0.000000000000000000e+00,-2.667650781488063449e-01
3.092495182446394875e+00,0.000000000000000000e+00,-2.591717410752459316e-01
3.210660600060570857e+00,0.000000000000000000e+00,-2.297560301468434263e-01
3.352015421648077531e+00,0.000000000000000000e+00,-1.579169612701639136e-01
3.454150765650741750e+00,1.696915457452142784e-01,-7.196988093433411698e-03
3.356372461435798371e+00,1.648880056833335050e-01,1.457486039286970125e-01
3.214089527160208792e+00,1.578980933464176062e-01,2.197800763685830439e-01
3.094063218449894848e+00,1.520015789100223336e-01,2.507132373460436159e-01
2.987701875753048242e+00,1.467763812060755291e-01,2.589454902347845811e-01
2.882332461484845343e+00,1.415999138210247421e-01,2.482303319136683339e-01
2.766495934999469775e+00,1.359092301865608143e-01,2.156586676875840436e-01
2.630839656561594797e+00,1.292448645754582792e-01,1.432448141771468508e-01
2.527482257517915887e+00,1.241672411600766024e-01,-6.926616160633372078e-03
2.635533495559946093e+00,1.294754580987723669e-01,-1.556475864270160103e-01
2.771068517454877256e+00,1.361338667579060913e-01,-2.254495753770748012e-01
2.884764642448426564e+00,1.417193992098347843e-01,-2.564980950994164011e-01
2.987423330359078033e+00,1.467626971483519671e-01,-2.663820699312376417e-01
3.091437478198855615e+00,1.518725845631758997e-01,-2.589338637551027444e-01
3.209750175354241897e+00,1.576849146621490116e-01,-2.297914467842389619e-01
