nx,ny,nz
9.998302741327181886e-01,4.042783599611625524e-06,-1.842343375538184336e-02
-6.878758986228064032e-01,1.226747818310459335e-05,-7.258283185047094133e-01
-3.723874868118127179e-01,2.223812101259985703e-06,-9.280773457320434794e-01
-1.711866078056762108e-01,-2.343513628333455514e-07,-9.852386235364143374e-01
1.102753209063007944e-02,-7.595591669557706737e-06,-9.999391948905166361e-01
1.915656386070516692e-01,-1.482210353912168492e-05,-9.814798041148758978e-01
3.847832560245514344e-01,-1.933177192809195470e-05,-9.230069585379219177e-01
6.808878164061267224e-01,-2.185933460565579338e-05,-7.323877258610116403e-01
9.998835650408174347e-01,3.087005620238073750e-06,1.525963144160673995e-02
6.673682580060478209e-01,1.503069218970726518e-05,7.447278751195294255e-01
3.742966778369229974e-01,1.240706099082306734e-05,9.273090082633217435e-01
1.846073075103326910e-01,9.350657295792101897e-06,9.828123635396270874e-01
1.040441258038696075e-02,2.849224654664227607e-06,9.999458726304821798e-01
-1.641805997757742330e-01,4.948993932201581113e-06,9.864302968952100015e-01
-3.634757829898474513e-01,-4.687513128514132683e-06,9.316036470291121363e-01
6.731609064442715118e-01,4.957391444814795773e-06,-7.394960405644785961e-01
9.998240406838367900e-01,7.078990599335319503e-03,-1.737168853996939530e-02
-6.868358247095324165e-01,-6.779514140025104732e-03,-7.267809766935291460e-01
-3.712859082547452783e-01,-5.300165542552038797e-03,-9.285034639551263957e-01
-1.702526250680145570e-01,-4.506576381971418022e-03,-9.853901432563455520e-01
1.191085689047544430e-02,-3.766998839402947025e-03,-9.999219675594072099e-01
1.922003226154720967e-01,-3.343014016003521480e-03,-9.813500192305469882e-01
3.853586113424124493e-01,-3.100331341418709283e-03,-9.227616857075389145e-01
6.816043092702193107e-01,-3.801072984624677756e-03,-7.317110887696254284e-01
9.998516897468799902e-01,-7.086908355028968300e-03,1.569631295158868331e-02
6.679260325475345761e-01,-6.025330155149810282e-03,7.442032722595550709e-01
3.753178857423637438e-01,-5.265168201412649338e-03,9.268812020133382346e-01
1.861283636487945647e-01,-4.992979870875428883e-03,9.825127492289494890e-01
1.201671740022872831e-02,-4.723981218679714454e-03,9.999166377775530190e-01
-1.621619376648358313e-01,-4.845912904061873937e-03,9.867522602461622494e-01
-3.622059007396630781e-01,-4.673525687275620517e-03,9.320863927914717628e-01
6.731945099715661573e-01,5.586759669932288633e-03,-7.394443453435310953e-01
9.998256383738384212e-01,9.458953494768607140e-03,-1.610034313671241182e-02
-6.845288143477573639e-01,-1.083927985102248540e-02,-7.289052149216407317e-01
-3.689215651105538507e-01,-9.358462905279708519e-03,-9.294134160686663426e-01
-1.684361968842004731e-01,-8.767786496405399060e-03,-9.856735633561133358e-01
1.286448542784088787e-02,-7.821023478325726114e-03,-9.998866618804482798e-01
1.925867348581857263e-01,-7.212646699513074709e-03,-9.812534470177664003e-01
3.852160393232347269e-01,-6.756905629338194087e-03,-9.228016836105329412e-01
6.818347324397404652e-01,-6.880463750974665990e-03,-7.314738934899844836e-01
9.998306525284960111e-01,-8.843847451396017953e-03,1.613854475149648776e-02
6.679506946156598124e-01,-9.127925573363941669e-03,7.441495485029755441e-01
3.754801653382612847e-01,-8.967704905106928595e-03,9.267870444208231584e-01
1.872242556813649428e-01,-9.109723032447931620e-03,9.822749569396689306e-01
1.398333923990587729e-02,-9.035826396819305120e-03,9.998614004275920841e-01
-1.597788447130882028e-01,-9.083489470004950037e-03,9.871110428929447123e-01
-3.593040372703554808e-01,-9.341879110320014390e-03,9.331737984405205077e-01
6.713310540482535504e-01,1.002720548619484564e-02,-7.410897860722335251e-01
9.997488588247671615e-01,1.631330991397175745e-02,-1.536538962135275931e-02
-6.800733728704450032e-01,-1.754319864147904987e-02,-7.329341332575805001e-01
-3.642600046007272718e-01,-1.535824205992846435e-02,-9.311706467931132325e-01
-1.652279097704906496e-01,-1.467072336898417664e-02,-9.861462912310238194e-01
1.438456045369574700e-02,-1.395433332038433991e-02,-9.997991603327816001e-01
1.925149233482212618e-01,-1.231722946424521938e-02,-9.812167396383691953e-01
3.838477819703803862e-01,-1.123417508134771058e-02,-9.233280422399501308e-01
6.805648228217253681e-01,-1.006976795044579008e-02,-7.326186741484655984e-01
9.998248344385736175e-01,-8.879759648022483853e-03,1.647574910194373951e-02
6.666746431520143013e-01,-1.296019256056975960e-02,7.452361730263268313e-01
3.744460642166438924e-01,-1.368192617185912986e-02,9.271477497620811414e-01
1.878708219939479174e-01,-1.445848803927087325e-02,9.820873211517060497e-01
1.654040419594694777e-02,-1.460294455584976690e-02,9.997565548869039587e-01
-1.556239542453435043e-01,-1.549477541771915844e-02,9.876948399175705662e-01
-3.547607685745443051e-01,-1.591575032440192133e-02,9.348216332392013106e-01
6.672901920297481526e-01,1.764689476200221457e-02,-7.445887366366421567e-01
9.994051508473610346e-01,3.123175125107879174e-02,-1.462607854293961236e-02
-6.738767536620509091e-01,-2.938876845419431671e-02,-7.382590474641269607e-01
-3.573913958531547141e-01,-2.554667171367444936e-02,-9.336052472723606055e-01
-1.595801974868288620e-01,-2.418967389406423418e-02,-9.868885551301936898e-01
1.644838073380898782e-02,-2.307208976317040583e-02,-9.995984841150936662e-01
1.913405274966358816e-01,-2.085106553908783883e-02,-9.813022142047735930e-01
3.812186166638261153e-01,-1.914745524250666825e-02,-9.242866120780139916e-01
6.778325396742437281e-01,-1.747364321876611337e-02,-7.350086529772463795e-01
9.997451815163402866e-01,-1.497206389973988576e-02,1.689406219473785220e-02
6.641852686731686273e-01,-2.063070196520689487e-02,7.472832816368715214e-01
3.727450031356934201e-01,-2.189987018180409792e-02,9.276753517925275805e-01
1.886477945136348922e-01,-2.340915479764881652e-02,9.817657669203987414e-01
1.922604271695529943e-02,-2.411990645843805833e-02,9.995241814953149673e-01
-1.507871905373530663e-01,-2.628371331980493622e-02,9.882167725676244130e-01
-3.476460172643635049e-01,-2.772542054550924603e-02,9.372158490634900918e-01
6.613217258666098664e-01,3.141385846801344334e-02,-7.494442903865173866e-01
9.987250104236817805e-01,4.832013300100088810e-02,-1.461226542916372814e-02
-6.649951322966718426e-01,-4.238175351418488335e-02,-7.456441919513578931e-01
-3.470302718580941526e-01,-3.904867068733889474e-02,-9.370406563920518073e-01
-1.520272687514597487e-01,-3.782670382234308570e-02,-9.876521908211948197e-01
1.987939106992192909e-02,-3.642755871724614319e-02,-9.991385503405362245e-01
1.908660775163026624e-01,-3.373748638089339724e-02,-9.810361473800226495e-01
3.777799730156875535e-01,-3.162242666120231027e-02,-9.253552367174031623e-01
6.739404333448449913e-01,-3.002771010561737161e-02,-7.381752020548872917e-01
9.994735007739931065e-01,-2.830637623871339742e-02,1.585781557495785296e-02
6.613509439902338638e-01,-3.160495006424091091e-02,7.494104723145130764e-01
3.703079855424252220e-01,-3.390406946141426986e-02,9.282901000858861940e-01
1.892813623797063305e-01,-3.652475109542803466e-02,9.812433482134270690e-01
2.279252862203833344e-02,-3.862409888317312745e-02,9.989938336268516794e-01
-1.439857370666806635e-01,-4.188952599400443122e-02,9.886927607368023452e-01
-3.377335419489858603e-01,-4.526580757856147469e-02,9.401526797849650841e-01
6.518912741024234236e-01,5.146780390917399250e-02,-7.565638320127896499e-01
9.972031234516791631e-01,7.241352354089512777e-02,-1.849897798790895581e-02
-6.516579214383035890e-01,-5.382145454081387753e-02,-7.566010867411037122e-01
-3.288507010255142249e-01,-5.473921382477538872e-02,-9.427941635929188990e-01
-1.384222018218774497e-01,-5.584869732528706388e-02,-9.887973589415830489e-01
2.627133979558482144e-02,-5.634416660415576122e-02,-9.980657050490341353e-01
1.902352830536654660e-01,-5.225943279406552316e-02,-9.803466166440989449e-01
3.729042988906134948e-01,-4.893304557473718980e-02,-9.265786210137155754e-01
6.678282332503610030e-01,-4.718900987832171101e-02,-7.428180451634189829e-01
9.990222933402117533e-01,-4.283340405126280503e-02,1.094334988216243837e-02
6.586731158326560864e-01,-4.421050711072539718e-02,7.511292548824810567e-01
3.666381675884702318e-01,-4.879056986903786836e-02,9.290833839646587267e-01
1.892571187564806301e-01,-5.373603230749414428e-02,9.804561090797695444e-01
2.707093970485905179e-02,-5.856150850637053401e-02,9.979166868756887965e-01
-1.351032068859972513e-01,-6.397187994187358839e-02,9.887642398801747001e-01
-3.230242529062921086e-01,-7.113164759073162258e-02,9.437137387711157510e-01
6.344781291212724383e-01,8.228656947148035861e-02,-7.685482575293343110e-01
9.930771312389383709e-01,1.121222011165028537e-01,-3.502032876802506356e-02
-6.374073295886487633e-01,-5.234380992846691255e-02,-7.687470466602385200e-01
-2.985376978094241851e-01,-6.704167029540528122e-02,-9.520402604042799144e-01
-1.131977570562999330e-01,-7.690778315360490003e-02,-9.905914701267211075e-01
3.851759976185852724e-02,-8.212591085540960067e-02,-9.958773665842356460e-01
1.894728139346838758e-01,-7.973723007344783731e-02,-9.786429517039829662e-01
3.657601291909845509e-01,-7.557003833669309611e-02,-9.276360801521159605e-01
6.566095100843342136e-01,-7.302806575076345452e-02,-7.506869206796604743e-01
9.983418668491201853e-01,-5.749447272922263152e-02,-2.811138879589628915e-03
6.556388404837930617e-01,-5.653887526071667280e-02,7.529548900387846855e-01
3.599995339134391958e-01,-6.444118742040227943e-02,9.307242711705508986e-01
1.858681581860696375e-01,-7.358851077483771763e-02,9.798151656585323277e-01
3.056266011447847722e-02,-8.574076176897688084e-02,9.958486057518983747e-01
-1.260603305660824847e-01,-9.289943596337200959e-02,9.876631449311323863e-01
-3.049182726383155573e-01,-1.066667247735618163e-01,9.463863147982143342e-01
6.054130641903063825e-01,1.278534211568189971e-01,-7.855752824562338699e-01
9.804655666788808510e-01,1.739937468632875017e-01,-9.172485273645676618e-02
-6.355689769395033162e-01,-1.682402533850746104e-02,-7.718607566935119513e-01
-2.463107718034359128e-01,-5.913102886737470892e-02,-9.673854067116578470e-01
-6.602216669969411533e-02,-9.012205830621559943e-02,-9.937399499420996873e-01
6.426637232209354844e-02,-1.055718404024651308e-01,-9.923328171045195933e-01
1.935011597434755648e-01,-1.119980673430155671e-01,-9.746864798946154318e-01
3.558280769597152449e-01,-1.137125364086982310e-01,-9.276075887521885166e-01
6.357609949078606437e-01,-1.141331017591242919e-01,-7.634013311729335172e-01
9.962682115033031360e-01,-7.860213570424015583e-02,-3.565606555328099808e-02
6.515192810562828729e-01,-5.718548017903771902e-02,7.564736923836777871e-01
3.446003486585568765e-01,-6.721378679612206863e-02,9.363401660555441541e-01
1.659099705835952454e-01,-8.345222147673743429e-02,9.826034848256673948e-01
2.159466503734091061e-02,-1.025024980914745198e-01,9.944983199216225200e-01
-1.218903061850014485e-01,-1.170798185063843949e-01,9.856140570003231183e-01
-2.904447268959107764e-01,-1.409747768812449897e-01,9.464501956794350024e-01
5.644491393326210860e-01,1.769724023857322526e-01,-8.062741084150453208e-01
9.398636148081841446e-01,2.542234331603304698e-01,-2.280939095895765933e-01
-6.656727845132643928e-01,3.173843872686694934e-02,-7.455685182902618280e-01
-1.709062120533499651e-01,-1.154231297277406344e-02,-9.852196920955307302e-01
1.618211260059933265e-02,-7.301391186574424097e-02,-9.971996329250428781e-01
1.180212515445557830e-01,-1.079844547290065432e-01,-9.871222526722476243e-01
2.171967312873488987e-01,-1.279486788955996046e-01,-9.677059034060705445e-01
3.511137487243659039e-01,-1.484805785065054784e-01,-9.244850746567486732e-01
6.030734263404614603e-01,-1.661736641094793965e-01,-7.801850779131862534e-01
9.860041934035166378e-01,-1.245642949408213990e-01,-1.108127565606709664e-01
6.491976787624039735e-01,-1.417677884449665936e-02,7.604876020232671507e-01
3.084237210176153932e-01,-2.753997974618444672e-02,9.508503340848262209e-01
1.203488820133656045e-01,-5.683678380199573554e-02,9.911032875564360634e-01
-2.076661272366378888e-02,-8.396158927814072193e-02,9.962525780753952453e-01
-1.537158085059548984e-01,-1.121188049097339434e-01,9.817335808665051955e-01
-3.013475971638192030e-01,-1.497826143274288146e-01,9.416765868008141194e-01
5.305171209820378486e-01,2.054140029139859824e-01,-8.224090659469730502e-01
8.603451387948651830e-01,3.036328305456148513e-01,-4.094060898019131201e-01
-7.440916127493055754e-01,-1.097164109496704190e-02,-6.679874960864305988e-01
-1.198189568420076068e-01,7.087398959286300704e-02,-9.902627404787490706e-01
1.351337002007252652e-01,-1.000640030732488639e-02,-9.907768442101115847e-01
2.129140241578989790e-01,-6.818589537034880355e-02,-9.746888231581555262e-01
2.905153533152675105e-01,-1.090673493354151757e-01,-9.506340740774279485e-01
3.829589678549949472e-01,-1.468249468944924641e-01,-9.120224031836410283e-01
5.691146064402321514e-01,-1.910083576089698920e-01,-7.997651980799752591e-01
9.455624246461445948e-01,-1.994471420967301456e-01,-2.571624751139812703e-01
6.847796888832805573e-01,7.672510858365717834e-02,7.246999623332001095e-01
2.426900763240223968e-01,6.289498804666297793e-02,9.680628839762673854e-01
2.883006464399688953e-02,1.382363364253352475e-02,9.994887365676201618e-01
-1.115072178601870384e-01,-2.960662337168456712e-02,9.933224996030268761e-01
-2.384121585145745903e-01,-7.487818343172875091e-02,9.682731537734499128e-01
-3.672064283996568368e-01,-1.254202885767185527e-01,9.216448286380702903e-01
5.411153471828765715e-01,1.993910424768465528e-01,-8.169684162947429273e-01
8.058675724844045485e-01,3.033194323157012429e-01,-5.085024853407937862e-01
-8.623199866720739903e-01,-2.032607432163786587e-01,-4.637772211450207904e-01
-1.754320535415390681e-01,1.451963612575190576e-01,-9.737256344924750673e-01
2.463283113092931687e-01,8.074560477472345066e-02,-9.658170170156841206e-01
3.581999454435531582e-01,1.376700661477101018e-02,-9.335433940707315026e-01
4.174773281829872174e-01,-4.317997306063400126e-02,-9.076608234245178153e-01
4.727887563370964386e-01,-9.059706442291390327e-02,-8.765061116724566226e-01
5.717596718966130309e-01,-1.520564868437975781e-01,-8.062069848378874415e-01
8.770099575266580016e-01,-2.328548817021527662e-01,-4.202762644577542339e-01
8.424672778256421246e-01,1.122709887854297095e-01,5.269194538733527056e-01
1.827019400987284492e-01,1.618264247425658664e-01,9.697588408151777140e-01
-9.102848364119717206e-02,9.372251091627005481e-02,9.914282153103831652e-01
-2.466064026536892995e-01,2.957450904417243537e-02,9.686643539353555488e-01
-3.639143774872976578e-01,-3.302112783286507980e-02,9.308468891147865243e-01
-4.728235779683577222e-01,-9.551997886514901337e-02,8.759644957158934098e-01
6.051853439812918678e-01,1.799966004404874031e-01,-7.754688409343734046e-01
8.121823037878822538e-01,2.935219017615997017e-01,-5.041872654084507133e-01
-9.175730809148789913e-01,-3.809789033811193382e-01,-1.136429336073967317e-01
-3.324452278103062208e-01,8.537634081704555122e-02,-9.392502600131893420e-01
2.830912057688845240e-01,1.809547285603305133e-01,-9.418676952884488252e-01
4.802640573512908517e-01,1.166024945087347497e-01,-8.693389980271296613e-01
5.499472755106438182e-01,5.831434534551886706e-02,-8.331611076408570460e-01
5.988119177816523253e-01,5.958234558784166260e-03,-8.008675212315695680e-01
6.555649069611574342e-01,-5.732493610100861808e-02,-7.529598292485608635e-01
8.342354616432658965e-01,-1.588684134557662164e-01,-5.280265350746051745e-01
9.937151507149390994e-01,-3.058657768004955507e-02,1.076785053081920768e-01
2.415196789445777925e-01,2.173666488719175893e-01,9.457377990969265680e-01
-1.879060681564386492e-01,1.474928512545608805e-01,9.710495190147542255e-01
-3.820832699084066864e-01,6.372155005465396371e-02,9.219283805777591656e-01
-5.036620341398301282e-01,-1.292938755216837231e-02,8.638040207730290909e-01
-5.954769150941185973e-01,-8.784005494722905982e-02,7.985558016424758598e-01
6.937431808680782908e-01,1.763474848399110284e-01,-6.982993366670656732e-01
8.528848360219847269e-01,2.972265702477988603e-01,-4.292363246772931129e-01
-9.036831546216147482e-01,-4.218540391902071418e-01,7.345696476190810564e-02
-5.762551577440176986e-01,-1.944817350601903971e-01,-7.937926983170059403e-01
1.744788439215710640e-01,2.412672297284513268e-01,-9.546450947252329566e-01
5.496199055140031930e-01,2.300999384341088638e-01,-8.031014741584001637e-01
6.592793986205234269e-01,1.738988223714843517e-01,-7.315120464711218906e-01
7.136459516960586003e-01,1.207757164859888932e-01,-6.900164359891142185e-01
7.622527439116861814e-01,6.372631225094699259e-02,-6.441348550777215021e-01
8.465116174184317277e-01,-1.937768810961553595e-02,-5.320174684906083806e-01
9.881540292645891732e-01,-8.478626500559996448e-02,-1.279175660906514134e-01
6.187311830961936820e-01,1.652092225389400482e-01,7.680349183809687119e-01
-1.935400065104897482e-01,1.645006903832073319e-01,9.672030752346509885e-01
-4.821657873390712279e-01,7.063396226252081911e-02,8.732279180688099496e-01
-6.268901393210910555e-01,-1.997911229330036689e-02,7.788514545752305285e-01
-7.151873933061255739e-01,-1.037793437384158940e-01,6.911850984137394294e-01
7.855825883120505226e-01,1.935010704185788910e-01,-5.877221560293505176e-01
8.982902315904056634e-01,3.174897917984038087e-01,-3.037678257041847019e-01
-9.022378113193388893e-01,-4.263831639639558135e-01,6.453161483934433118e-02
-7.542346555396877150e-01,-4.405830031677230862e-01,-4.868436111346609585e-01
-5.452497425730654101e-02,1.068664355783214281e-01,-9.927772117293096610e-01
5.229766138880014292e-01,3.318738941970473255e-01,-7.850829126128815449e-01
7.188537681100138910e-01,2.975862582346127660e-01,-6.282449195846745438e-01
7.936817417988050183e-01,2.457345377547609511e-01,-5.564924345304846920e-01
8.438640223396068896e-01,1.919893651268226864e-01,-5.010325293621323839e-01
9.001527032209862833e-01,1.248439715708302145e-01,-4.172997647331839199e-01
9.827048594706806472e-01,2.058082584695994366e-02,-1.840314885560763725e-01
9.230334383613573168e-01,4.807604857349347810e-02,3.817040282998955258e-01
5.600274602375345662e-02,1.320731160875942556e-01,9.896567002979921313e-01
-5.039594187668993142e-01,5.181793621337008743e-02,8.621715639724578661e-01
-7.124704648365679516e-01,-4.471652188827787006e-02,7.002758523651787526e-01
-8.109289776819104123e-01,-1.361011054128341280e-01,5.690963734387824990e-01
8.649503563092579839e-01,2.245257222555529786e-01,-4.488307934690915491e-01
9.275459539565620304e-01,3.463797472997685034e-01,-1.402839048477947936e-01
-9.001843453783443527e-01,-4.329295609307231563e-01,-4.733011312146902239e-02
-7.920961707262493823e-01,-4.957416481497083915e-01,-3.561233980106074393e-01
-3.442149345849587205e-01,-2.431534196014599747e-01,-9.068585850863336573e-01
3.693487105354632538e-01,3.254782034983330075e-01,-8.704283250637506741e-01
