nx,ny,nz
9.662245512008666992e-01,-4.045131430029869080e-02,-2.545068264007568359e-01
9.454265832901000977e-01,7.007733732461929321e-02,-3.182102143764495850e-01
9.105286598205566406e-01,1.777185499668121338e-01,-3.733010292053222656e-01
8.644086718559265137e-01,2.773894071578979492e-01,-4.193479418754577637e-01
8.097699284553527832e-01,3.700962960720062256e-01,-4.553036391735076904e-01
7.502031326293945312e-01,4.559498727321624756e-01,-4.788579046726226807e-01
6.943393945693969727e-01,5.301612615585327148e-01,-4.866435229778289795e-01
6.538146138191223145e-01,5.900728702545166016e-01,-4.736458659172058105e-01
6.321904063224792480e-01,6.441626548767089844e-01,-4.305691719055175781e-01
6.154450774192810059e-01,7.098609209060668945e-01,-3.425271213054656982e-01
5.739141106605529785e-01,7.948733568191528320e-01,-1.969747692346572876e-01
4.805344045162200928e-01,8.768922686576843262e-01,-1.211390271782875061e-02
3.452875614166259766e-01,9.267389178276062012e-01,1.480928957462310791e-01
2.109429836273193359e-01,9.489645957946777344e-01,2.344552427530288696e-01
1.061623170971870422e-01,9.627293348312377930e-01,2.487604916095733643e-01
2.973357215523719788e-02,9.767606854438781738e-01,2.122602015733718872e-01
-3.711460530757904053e-02,9.887350797653198242e-01,1.450016200542449951e-01
-1.101773753762245178e-01,9.918993115425109863e-01,6.321972608566284180e-02
-1.911363005638122559e-01,9.813168048858642578e-01,-2.200515754520893097e-02
-2.750242948532104492e-01,9.556931257247924805e-01,-1.049395203590393066e-01
-3.605105280876159668e-01,9.146314859390258789e-01,-1.829793751239776611e-01
-4.480805397033691406e-01,8.570007085800170898e-01,-2.545068860054016113e-01
-5.334020853042602539e-01,7.837246060371398926e-01,-3.182103931903839111e-01
-6.091731190681457520e-01,6.996816396713256836e-01,-3.733009696006774902e-01
-6.724306941032409668e-01,6.099051833152770996e-01,-4.193479120731353760e-01
-7.253977656364440918e-01,5.162330865859985352e-01,-4.553036689758300781e-01
-7.699658274650573730e-01,4.217199087142944336e-01,-4.788579046726226807e-01
-8.063027858734130859e-01,3.362348675727844238e-01,-4.866435527801513672e-01
-8.379254341125488281e-01,2.711835503578186035e-01,-4.736458361148834229e-01
-8.739564418792724609e-01,2.254116237163543701e-01,-4.305690526962280273e-01
-9.224802851676940918e-01,1.780605614185333252e-01,-3.425269126892089844e-01
-9.753376245498657227e-01,9.958733618259429932e-02,-1.969745457172393799e-01
-9.996781945228576660e-01,-2.229129523038864136e-02,-1.211378909647464752e-02
-9.752231836318969727e-01,-1.643418818712234497e-01,1.480929851531982422e-01
-9.272988438606262207e-01,-2.918005585670471191e-01,2.344553768634796143e-01
-8.868291974067687988e-01,-3.894254863262176514e-01,2.487606257200241089e-01
-8.607662916183471680e-01,-4.626305103302001953e-01,2.122601568698883057e-01
-8.377123475074768066e-01,-5.265098214149475098e-01,1.450013369321823120e-01
-8.039212226867675781e-01,-5.913662314414978027e-01,6.321948021650314331e-02
-7.542770504951477051e-01,-6.561874151229858398e-01,-2.200534194707870483e-02
-6.901422142982482910e-01,-7.160247564315795898e-01,-1.049395427107810974e-01
-6.118386983871459961e-01,-7.695270776748657227e-01,-1.829794347286224365e-01
-5.181440711021423340e-01,-8.165494203567504883e-01,-2.545068860054016113e-01
-4.120241403579711914e-01,-8.538022041320800781e-01,-3.182104527950286865e-01
-3.013553321361541748e-01,-8.774002790451049805e-01,-3.733011484146118164e-01
-1.919776201248168945e-01,-8.872945904731750488e-01,-4.193481206893920898e-01
-8.437202125787734985e-02,-8.863294124603271484e-01,-4.553037285804748535e-01
1.976298354566097260e-02,-8.776699304580688477e-01,-4.788579046726226807e-01
1.119635328650474548e-01,-8.663961291313171387e-01,-4.866434931755065918e-01
1.841111332178115845e-01,-8.612564802169799805e-01,-4.736457765102386475e-01
2.417661249637603760e-01,-8.695743083953857422e-01,-4.305691123008728027e-01
3.070354163646697998e-01,-8.879216313362121582e-01,-3.425266742706298828e-01
4.014236927032470703e-01,-8.944607973098754883e-01,-1.969741433858871460e-01
5.191442966461181641e-01,-8.546007275581359863e-01,-1.211280934512615204e-02
6.299359798431396484e-01,-7.623969316482543945e-01,1.480932533740997314e-01
7.163562774658203125e-01,-6.571637988090515137e-01,2.344555258750915527e-01
7.806669473648071289e-01,-5.733038187026977539e-01,2.487605363130569458e-01
8.310330510139465332e-01,-5.141301155090332031e-01,2.122600674629211426e-01
8.748271465301513672e-01,-4.622252881526947021e-01,1.450012028217315674e-01
9.140988588333129883e-01,-4.005328714847564697e-01,6.321957707405090332e-02
9.454134702682495117e-01,-3.251293897628784180e-01,-2.200555428862571716e-02
9.651667475700378418e-01,-2.396680861711502075e-01,-1.049399748444557190e-01
9.723493456840515137e-01,-1.451042145490646362e-01,-1.829795688390731812e-01
9.662246704101562500e-01,-4.045115038752555847e-02,-2.545068264007568359e-01
9.908918738365173340e-01,-5.653349310159683228e-02,-1.222176775336265564e-01
9.797136187553405762e-01,5.804644897580146790e-02,-1.918124258518218994e-01
9.531602859497070312e-01,1.723933368921279907e-01,-2.485278099775314331e-01
9.147339463233947754e-01,2.811870574951171875e-01,-2.901648879051208496e-01
8.676443696022033691e-01,3.859582841396331787e-01,-3.134158551692962646e-01
8.148097991943359375e-01,4.880567491054534912e-01,-3.128668069839477539e-01
7.628091573715209961e-01,5.832353830337524414e-01,-2.792106270790100098e-01
7.196342349052429199e-01,6.658514738082885742e-01,-1.968969553709030151e-01
6.803978681564331055e-01,7.313279509544372559e-01,-4.709615558385848999e-02
6.185165643692016602e-01,7.680900692939758301e-01,1.657555997371673584e-01
5.159489512443542480e-01,7.681851983070373535e-01,3.790623247623443604e-01
3.943515419960021973e-01,7.568264603614807129e-01,5.212490558624267578e-01
2.794122099876403809e-01,7.650903463363647461e-01,5.801427364349365234e-01
1.807453036308288574e-01,7.972035408020019531e-01,5.760188102722167969e-01
1.029694825410842896e-01,8.426117897033691406e-01,5.285855531692504883e-01
4.222171008586883545e-02,8.910949230194091797e-01,4.518485665321350098e-01
-1.712426543235778809e-02,9.340319037437438965e-01,3.567787408828735352e-01
-8.873739093542098999e-02,9.633211493492126465e-01,2.532547414302825928e-01
