x,y,z
1.306668639183044434e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.286185741424560547e+00,1.287022978067398071e-01,-5.426581576466560364e-02
1.229797601699829102e+00,2.486089617013931274e-01,-9.624740481376647949e-02
1.149522185325622559e+00,3.545806705951690674e-01,-1.182561293244361877e-01
1.057444930076599121e+00,4.457504749298095703e-01,-1.194519028067588806e-01
9.621010422706604004e-01,5.239323377609252930e-01,-1.032235175371170044e-01
8.701009750366210938e-01,5.932248830795288086e-01,-7.380651682615280151e-02
7.862665057182312012e-01,6.597560048103332520e-01,-3.602639585733413696e-02
7.114463448524475098e-01,7.294099926948547363e-01,5.201984196901321411e-03
6.430329680442810059e-01,8.063379526138305664e-01,4.597131162881851196e-02
5.764172673225402832e-01,8.924686312675476074e-01,8.214730024337768555e-02
5.054246187210083008e-01,9.858672618865966797e-01,1.086871549487113953e-01
4.242811799049377441e-01,1.081050992012023926e+00,1.209479197859764099e-01
3.294997215270996094e-01,1.171111822128295898e+00,1.147799119353294373e-01
2.198195457458496094e-01,1.246659159660339355e+00,8.744026720523834229e-02
9.704934805631637573e-02,1.295035123825073242e+00,4.141608253121376038e-02
-3.255381807684898376e-02,1.305361270904541016e+00,-1.408307254314422607e-02
-1.597852855920791626e-01,1.275054931640625000e+00,-6.632423400878906250e-02
-2.765046358108520508e-01,1.211445212364196777e+00,-1.037684604525566101e-01
-3.787250220775604248e-01,1.127217173576354980e+00,-1.204103827476501465e-01
-4.663972258567810059e-01,1.033641934394836426e+00,-1.168661639094352722e-01
-5.418722629547119141e-01,9.385501742362976074e-01,-9.693192690610885620e-02
-6.098620295524597168e-01,8.482663035392761230e-01,-6.494155526161193848e-02
-6.766837239265441895e-01,7.667757272720336914e-01,-2.587364614009857178e-02
-7.478372454643249512e-01,6.938914060592651367e-01,1.557900570333003998e-02
-8.270049095153808594e-01,6.264317035675048828e-01,5.563581734895706177e-02
-9.153103232383728027e-01,5.593342781066894531e-01,8.988185226917266846e-02
-1.009748697280883789e+00,4.862691760063171387e-01,1.132562905550003052e-01
-1.104348778724670410e+00,4.019498825073242188e-01,1.212885528802871704e-01
-1.191815853118896484e+00,3.034734129905700684e-01,1.099527552723884583e-01
-1.261815071105957031e+00,1.901877820491790771e-01,7.742860913276672363e-02
-1.301462054252624512e+00,6.495301425457000732e-02,2.795654721558094025e-02
-1.301461935043334961e+00,-6.495354324579238892e-02,-2.795676887035369873e-02
-1.261814594268798828e+00,-1.901882439851760864e-01,-7.742879539728164673e-02
-1.191815495491027832e+00,-3.034738302230834961e-01,-1.099528521299362183e-01
-1.104348540306091309e+00,-4.019502997398376465e-01,-1.212885752320289612e-01
-1.009748339653015137e+00,-4.862695038318634033e-01,-1.132562085986137390e-01
-9.153098464012145996e-01,-5.593345761299133301e-01,-8.988175541162490845e-02
-8.270045518875122070e-01,-6.264320015907287598e-01,-5.563567578792572021e-02
-7.478368282318115234e-01,-6.938916444778442383e-01,-1.557884365320205688e-02
-6.766834855079650879e-01,-7.667761445045471191e-01,2.587381564080715179e-02
-6.098617315292358398e-01,-8.482666611671447754e-01,6.494169682264328003e-02
-5.418720841407775879e-01,-9.385502338409423828e-01,9.693196415901184082e-02
-4.663967788219451904e-01,-1.033642411231994629e+00,1.168662086129188538e-01
-3.787247240543365479e-01,-1.127217411994934082e+00,1.204103529453277588e-01
-2.765040993690490723e-01,-1.211445927619934082e+00,1.037683114409446716e-01
-1.597849130630493164e-01,-1.275055050849914551e+00,6.632409989833831787e-02
-3.255312517285346985e-02,-1.305361390113830566e+00,1.408277172595262527e-02
9.704971313476562500e-02,-1.295035004615783691e+00,-4.141622781753540039e-02
2.198201566934585571e-01,-1.246658802032470703e+00,-8.744047582149505615e-02
3.295000195503234863e-01,-1.171111583709716797e+00,-1.147799789905548096e-01
4.242816269397735596e-01,-1.081050395965576172e+00,-1.209479197859764099e-01
5.054248571395874023e-01,-9.858670234680175781e-01,-1.086870878934860229e-01
5.764175057411193848e-01,-8.924678564071655273e-01,-8.214709162712097168e-02
6.430332064628601074e-01,-8.063376545906066895e-01,-4.597118869423866272e-02
7.114467620849609375e-01,-7.294095754623413086e-01,-5.201735068112611771e-03
7.862668037414550781e-01,-6.597558259963989258e-01,3.602652996778488159e-02
8.701014518737792969e-01,-5.932243466377258301e-01,7.380673289299011230e-02
9.621016383171081543e-01,-5.239321589469909668e-01,1.032235994935035706e-01
1.057445406913757324e+00,-4.457499086856842041e-01,1.194519400596618652e-01
1.149522542953491211e+00,-3.545803129673004150e-01,1.182560920715332031e-01
1.229797959327697754e+00,-2.486082315444946289e-01,9.624721109867095947e-02
1.286185979843139648e+00,-1.287018060684204102e-01,5.426561459898948669e-02
1.306668639183044434e+00,2.284651969830520102e-07,-9.724465144245186821e-08
1.301692843437194824e+00,0.000000000000000000e+00,5.868402123451232910e-02
1.291000962257385254e+00,1.291841417551040649e-01,9.729303419589996338e-04
1.241184949874877930e+00,2.509109377861022949e-01,-4.981490597128868103e-02
1.162137508392333984e+00,3.584719896316528320e-01,-8.356010168790817261e-02
1.066767692565917969e+00,4.496803283691406250e-01,-9.587653726339340210e-02
9.665932655334472656e-01,5.263786911964416504e-01,-8.741697669029235840e-02
8.707107901573181152e-01,5.936406254768371582e-01,-6.197199225425720215e-02
7.846236228942871094e-01,6.583774089813232422e-01,-2.542177960276603699e-02
7.086517214775085449e-01,7.265447974205017090e-01,1.628255657851696014e-02
6.392964720726013184e-01,8.016524910926818848e-01,5.870232731103897095e-02
5.713499188423156738e-01,8.846228122711181641e-01,9.795422852039337158e-02
4.988787770271301270e-01,9.730991721153259277e-01,1.300707608461380005e-01
4.171406328678131104e-01,1.062857151031494141e+00,1.510296761989593506e-01
3.235202133655548096e-01,1.149859428405761719e+00,1.555180996656417847e-01
2.164059281349182129e-01,1.227299571037292480e+00,1.381794065237045288e-01
9.612622857093811035e-02,1.282716989517211914e+00,9.870048612356185913e-02
-3.249365836381912231e-02,1.302948951721191406e+00,4.430858418345451355e-02
-1.606477797031402588e-01,1.281937599182128906e+00,-1.284977886825799942e-02
-2.792935967445373535e-01,1.223664402961730957e+00,-6.012581661343574524e-02
-3.827962577342987061e-01,1.139334559440612793e+00,-8.869081735610961914e-02
-4.700676798820495605e-01,1.041776537895202637e+00,-9.560587257146835327e-02
-5.438211560249328613e-01,9.419257640838623047e-01,-8.244457840919494629e-02
-6.097913980484008789e-01,8.481680750846862793e-01,-5.362344533205032349e-02
-6.749186515808105469e-01,7.647756934165954590e-01,-1.527993939816951752e-02
-7.445863485336303711e-01,6.908750534057617188e-01,2.696930244565010071e-02
-8.216912746429443359e-01,6.224067807197570801e-01,6.896936893463134766e-02
-9.063846468925476074e-01,5.538799166679382324e-01,1.068021655082702637e-01
-9.955777525901794434e-01,4.794448018074035645e-01,1.365329921245574951e-01
-1.085042357444763184e+00,3.949229419231414795e-01,1.539373993873596191e-01
-1.170514583587646484e+00,2.980494201183319092e-01,1.533683836460113525e-01
-1.243788599967956543e+00,1.874707341194152832e-01,1.302251815795898438e-01
-1.291477322578430176e+00,6.445469707250595093e-02,8.607733249664306641e-02
-1.301574349403381348e+00,-6.495915353298187256e-02,2.975761145353317261e-02
-1.270507693290710449e+00,-1.914985179901123047e-01,-2.603481337428092957e-02
-1.204509258270263672e+00,-3.067060708999633789e-01,-6.923545151948928833e-02
-1.115716934204101562e+00,-4.060880541801452637e-01,-9.244669973850250244e-02
-1.016652941703796387e+00,-4.895946383476257324e-01,-9.406741708517074585e-02
-9.176589846611022949e-01,-5.607700943946838379e-01,-7.648338377475738525e-02
-8.263006806373596191e-01,-6.258988380432128906e-01,-4.468324780464172363e-02
-7.455357313156127930e-01,-6.917564868927001953e-01,-4.903273656964302063e-03
-6.734437942504882812e-01,-7.631050944328308105e-01,3.764102235436439514e-02
-6.055168509483337402e-01,-8.422233462333679199e-01,7.897622883319854736e-02
-5.360306501388549805e-01,-9.284325838088989258e-01,1.151434406638145447e-01
-4.593694806098937988e-01,-1.018068313598632812e+00,1.422349214553833008e-01
-3.719318807125091553e-01,-1.106999516487121582e+00,1.557193249464035034e-01
-2.717095613479614258e-01,-1.190439581871032715e+00,1.497737318277359009e-01
